filename,C_0,tau_0,R_th_0,h_0,T_amp_0,C_1,tau_1,R_th_1,h_1,T_amp_1
10048850990766-r9102715-n851693_cleaned.parquet,134.80052228526662,22.47952381825804,0.16676140000916748,5.996591537040504,14.721880650142348,,,,,
10036489881777-r4858666-n685852_cleaned.parquet,,,,,,168.28018174364752,45.25712239447542,0.2689391105092733,3.718313777815216,36.191280217154336
10070252594050-r6272977-n851693_cleaned.parquet,,,,,,245.42730076888893,25.291735951783757,0.10305184416138032,9.703853513130625,9.03915473735303
1017744163465-r1682297-n976057_cleaned.parquet,,,,,,132.440815075638,28.043908516648198,0.21174672249360668,4.722623274748412,17.821082705609914
10177292733558-r1682297-n386398_cleaned.parquet,,,,,,135.85951628641334,24.10994346922661,0.17746230906931126,5.634999371102689,17.31093012497429
10246129714425-r3226521-n685852_cleaned.parquet,,,,,,122.50268503633416,23.04332733411158,0.18810467156109237,5.31618907548089,15.131259420649776
10201892587718-r7217787-n830961_cleaned.parquet,258.1372768780687,40.29695922983443,0.15610670305811244,6.405874830549326,15.365787424150396,225.86414494522953,34.393080609821574,0.15227330844460352,6.56713911462557,14.933585588575607
1025423152861-r2652301-n911952_cleaned.parquet,198.27759741539666,54.45264076106113,0.2746283063284323,3.6412852461176533,31.63878302998527,216.44946509681407,57.75203259511046,0.2668153167728041,3.7479107724970295,28.028766091045384
10121788751509-r7343737-n386398_cleaned.parquet,62.34953865528559,6.3649218576698985,0.10208450607565676,9.795805832266858,3.6816624304502144,89.5496036894246,9.972079723967578,0.11135816701716163,8.980032868589584,4.858903011331407
10325724749052-r4179716-n851693_cleaned.parquet,,,,,,535.0666763104846,29.739289100397492,0.05558052933788123,17.991912130251055,3.0000000000000004
10539773706640-r629115-n851693_cleaned.parquet,,,,,,176.26215288957303,46.232221655343274,0.2622923917439465,3.812539103216589,27.44573336529648
10030084901039-r7343737-n830961_cleaned.parquet,70.21297476342187,15.86375876207808,0.22593771045209238,4.425998643604203,20.89787948053702,,,,,
10620096995667-r9189566-n386398_cleaned.parquet,163.3531168785332,30.690074810520017,0.18787566100339959,5.322669230592382,29.63862818500244,154.02325286814863,40.41698553306928,0.262408336276784,3.8108545413939,41.608570114840774
10770785896887-r1457839-n386398_cleaned.parquet,,,,,,146.0315277546487,29.431072526444172,0.201539167459044,4.9618146815219735,19.42439675972731
10772932880797-r3226521-n386398_cleaned.parquet,535.800643214445,93.42235021301349,0.17436028007085239,5.735251168406267,21.52316521845412,,,,,
11012819189530-r8333645-n386398_cleaned.parquet,137.26761909359152,22.03071206085579,0.16049460321618064,6.230739102504493,12.755106008633765,127.05411810151347,18.105506337150253,0.14250231797039706,7.017429710916959,10.176236614234325
11012819189530-r9189566-n43543_cleaned.parquet,206.60579130180605,47.77819369832896,0.23125292566719696,4.324269615681015,17.783567382516654,,,,,
11048232990043-r3405251-n208530_cleaned.parquet,,,,,,130.25748535178522,24.827858242144973,0.1906059999169537,5.246424563947075,16.169405823793184
11047064415893-r8937440-n830961_cleaned.parquet,86.83784779153162,7.028617954454926,0.08093956878489512,12.354896560637709,11.415962362860855,118.46498849809183,9.712490007631878,0.0819861642732386,12.197179961575708,12.11587353479609
11047064415893-r3041626-n386398_cleaned.parquet,157.4017254383064,27.70310327183403,0.1760025386932131,5.681736226220476,27.552681083935582,122.90469330291353,20.212819460350776,0.16445929701426315,6.080531889378515,24.83095701593683
11422305540085-r9352821-n976057_cleaned.parquet,,,,,,613.4023611426531,158.45478868757849,0.2583211261078406,3.871150668422423,19.493325790074618
11472524007079-r8939293-n139058_cleaned.parquet,194.49429555304576,26.470935778511365,0.13610134787367975,7.347465808554179,12.439202949018028,137.42378886695388,19.78169051211152,0.14394662434509836,6.947019456340949,12.732736972435621
11258330183406-r1485405-n386398_cleaned.parquet,,,,,,82.53536760300018,8.74797529626361,0.10599062620453657,9.434796602392357,7.916813950047373
11587721439197-r5573787-n976057_cleaned.parquet,,,,,,133.12112330657624,18.579616386472065,0.13956925786814048,7.164901607091445,5.2758310712749115
11611555786655-r8579942-n139058_cleaned.parquet,,,,,,154.01884418435677,28.94892945120573,0.1879570620368672,5.320364072321225,17.384812608177143
10855321952286-r8642123-n976057_cleaned.parquet,200.67467379562376,33.54071632365862,0.1671397575451799,5.983016935570747,22.675354044794318,164.75102885882566,26.319920445362534,0.1597557273400456,6.259556490713259,22.128292913111533
11731161508728-r8015356-n851693_cleaned.parquet,,,,,,163.58845437959633,27.91977229459286,0.17067079947956995,5.8592331145651215,16.01071542303607
11535695379405-r3041626-n976057_cleaned.parquet,81.72354490133063,10.803174132250417,0.13219169757373703,7.564771603316435,12.365413170420961,,,,,
1173416277102-r8937440-n830961_cleaned.parquet,173.53524503294665,34.71588203857502,0.20005090050717944,4.998727811095816,34.93406669895242,157.40651293317998,31.31288200990276,0.19893002790294495,5.026893177172253,36.59404297171727
11798370792059-r3741709-n976057_cleaned.parquet,,,,,,159.04612430610496,36.362118399037506,0.2286262463651983,4.373951004744401,36.399194751880074
11804676406038-r5189505-n43543_cleaned.parquet,150.05641590837067,11.916600863830931,0.0794141376207972,12.592216322678006,10.966866190823252,139.21894985761176,11.403140779645954,0.08190796433465908,12.208824967425706,12.227322921266216
11804676406038-r9189566-n830961_cleaned.parquet,210.39958757320787,15.616625939919764,0.07422365281246575,13.472794211928782,10.430740020977579,119.48980903958845,10.085018038266723,0.08440065407523943,11.848249411770487,12.272082652529512
11851464720006-r9189566-n386398_cleaned.parquet,96.1275518459339,12.828532675423864,0.13345323405286014,7.4932616440295865,21.660471094365207,76.01646539961563,13.030169662139713,0.17141246430810236,5.83388147435164,27.09807775889915
11745676376387-r6760045-n685852_cleaned.parquet,171.773976728167,32.355821322840185,0.18836276564781054,5.30890484943155,18.259799975825942,158.91197520409867,28.107131184154298,0.17687232914986356,5.653795620866744,15.77687877618135
11860214159495-r1485405-n851693_cleaned.parquet,674.607220049068,70.27198833956088,0.10416726392944563,9.599944956577895,8.364533630596203,675.7908449652317,121.29177373333563,0.17948123245081232,5.571613178408805,15.33163692069455
11860214159495-r4858666-n851693_cleaned.parquet,484.9097679189464,79.34407941050846,0.16362648199689592,6.111480169933437,12.387433916204996,431.6575702358906,58.3122398300864,0.13508911658428727,7.40252083428247,9.653993477944868
11860214159495-r3741709-n851693_cleaned.parquet,389.6576676296244,44.04385023299202,0.11303216615990315,8.847039156847888,9.4482296232457,438.8680839286748,57.11373259426253,0.13013872433600046,7.684107901796672,8.471696030763912
11860214159495-r7217787-n851693_cleaned.parquet,243.9778292563864,23.405789342824516,0.09593408308518198,10.423824024169576,6.648649596311138,266.2298364286673,35.117166918790794,0.13190545203298418,7.581187771904537,9.20509956378959
11860214159495-r629115-n851693_cleaned.parquet,498.56800578848,57.47098262477163,0.11527210321866098,8.675125829040253,9.078643049112051,452.8729277658948,56.85817232795462,0.12554994755029056,7.964957528950284,9.976926418506144
11860214159495-r9352821-n851693_cleaned.parquet,584.9281062759651,64.39870846299206,0.11009679270328854,9.082916726693442,8.134242145423034,445.1711241849312,57.48968147967366,0.12914063459289316,7.743496097509744,10.818399314491886
11860214159495-r8333645-n851693_cleaned.parquet,594.5038368540083,76.49022727175903,0.12866229371458648,7.772284879502577,10.684334167253848,565.4347956441709,77.20767421249955,0.13654567212217777,7.323556905598767,11.37696635588301
11973895949477-r8015356-n851693_cleaned.parquet,,,,,,175.8610651452591,26.353029516474066,0.14985141534714796,6.673276976953374,17.259844547276977
