epoch,train_rmse,val_rmse,train_mae,val_mae,lr,C_die0,C_sink0,R_pst0,C_die1,C_sink1,R_pst1,k01,k10,h_base0,h_act0,T_thr0,h_base1,h_act1,T_thr1,q0,q1,epoch_time_sec
27,2.358890,2.369308,1.512243,1.550465,0.010000,6.8924,3935.1514,0.0327,6.9420,4179.0713,0.0296,0.0317,0.0083,4.0990,15.3149,70.3495,4.7332,15.8717,67.6609,-6.9577,-6.9769,717.22
28,2.351754,2.358140,1.506465,1.535821,0.010000,6.9733,3973.7671,0.0330,7.0149,4216.6099,0.0301,0.0313,0.0081,4.0837,15.4455,70.4424,4.7075,15.9065,67.8385,-7.0322,-7.0437,586.20
29,2.346495,2.355873,1.500749,1.534235,0.010000,7.0455,4011.1299,0.0333,7.0845,4251.7207,0.0301,0.0307,0.0079,4.0824,15.6093,70.3963,4.7365,16.0664,67.7068,-7.1099,-7.1269,585.75
30,2.341094,2.350867,1.497339,1.528944,0.010000,7.1200,4044.9426,0.0333,7.1526,4283.2705,0.0303,0.0301,0.0077,4.0934,15.7671,70.3977,4.7362,16.1313,67.7745,-7.1922,-7.1981,585.87
31,2.337721,2.344323,1.493128,1.520461,0.010000,7.1940,4078.4590,0.0335,7.2203,4314.5566,0.0306,0.0297,0.0075,4.0800,15.9039,70.4484,4.7265,16.2440,67.7668,-7.2551,-7.2617,595.03
32,2.333287,2.341646,1.488975,1.518343,0.010000,7.2612,4108.4429,0.0340,7.2839,4342.4170,0.0309,0.0293,0.0073,4.0653,16.0528,70.4073,4.7354,16.3942,67.6624,-7.3146,-7.3264,742.49
33,2.329685,2.339218,1.485365,1.515957,0.010000,7.3294,4140.3994,0.0337,7.3488,4369.7935,0.0308,0.0286,0.0071,4.0859,16.2045,70.3863,4.7554,16.4591,67.7178,-7.3917,-7.3993,585.18
34,2.324869,2.337679,1.481732,1.516697,0.010000,7.3932,4168.2754,0.0339,7.4088,4394.5669,0.0311,0.0282,0.0069,4.0722,16.3933,70.2678,4.7378,16.5792,67.6789,-7.4513,-7.4558,584.13
35,2.322719,2.330638,1.479311,1.504712,0.010000,7.4564,4195.9092,0.0340,7.4666,4419.2632,0.0311,0.0277,0.0067,4.0852,16.4546,70.4810,4.7530,16.6849,67.6507,-7.5207,-7.5233,581.54
36,2.322194,2.329888,1.478809,1.507942,0.010000,7.5162,4220.3296,0.0345,7.5236,4441.9556,0.0314,0.0275,0.0066,4.0512,16.6919,70.2174,4.7448,16.6948,67.8750,-7.5697,-7.5782,585.57
37,2.316533,2.328822,1.473323,1.505996,0.010000,7.5771,4244.8115,0.0343,7.5780,4463.5361,0.0312,0.0270,0.0064,4.0606,16.8065,70.2575,4.7572,16.8905,67.6141,-7.6277,-7.6353,787.11
38,2.314952,2.322559,1.471751,1.496589,0.010000,7.6336,4267.5537,0.0345,7.6301,4483.4556,0.0314,0.0266,0.0063,4.0564,16.9107,70.3688,4.7514,16.9562,67.6625,-7.6860,-7.6885,589.09
39,2.309769,2.319849,1.467580,1.494807,0.010000,7.6899,4288.2031,0.0347,7.6828,4501.9121,0.0318,0.0262,0.0061,4.0592,17.0560,70.3374,4.7507,17.0367,67.7229,-7.7383,-7.7392,588.30
40,2.307999,2.318027,1.465556,1.491869,0.010000,7.7430,4310.9800,0.0347,7.7322,4520.5239,0.0316,0.0258,0.0060,4.0571,17.1860,70.3522,4.7682,17.1671,67.6506,-7.7934,-7.7977,594.09
41,2.305319,2.318496,1.462890,1.493220,0.010000,7.7969,4330.0591,0.0346,7.7826,4536.8647,0.0316,0.0255,0.0058,4.0567,17.3283,70.2935,4.7817,17.2795,67.5537,-7.8382,-7.8457,587.00
42,2.303453,2.313491,1.461465,1.487219,0.010000,7.8470,4349.9102,0.0349,7.8305,4553.4131,0.0320,0.0251,0.0057,4.0610,17.4386,70.3486,4.7709,17.3298,67.6593,-7.8885,-7.8922,699.34
43,2.302893,2.318056,1.459910,1.493885,0.010000,7.8949,4369.5415,0.0348,7.8760,4569.0361,0.0319,0.0247,0.0056,4.0650,17.5772,70.2636,4.7775,17.5549,67.2953,-7.9375,-7.9404,632.86
44,2.299130,2.307051,1.457092,1.479385,0.010000,7.9441,4387.2954,0.0350,7.9242,4583.6846,0.0324,0.0244,0.0055,4.0463,17.6852,70.3399,4.7310,17.4169,67.8409,-7.9816,-7.9800,586.64
45,2.296927,2.308705,1.454519,1.483674,0.010000,7.9891,4402.9463,0.0353,7.9660,4597.3022,0.0324,0.0241,0.0053,4.0369,17.8378,70.2352,4.7489,17.5904,67.6249,-8.0230,-8.0258,585.09
46,2.297615,2.308772,1.455376,1.485169,0.010000,8.0344,4420.1274,0.0353,8.0090,4611.0020,0.0323,0.0238,0.0052,4.0309,17.9849,70.1470,4.7467,17.6938,67.6250,-8.0660,-8.0701,585.73
47,2.295140,2.303734,1.452896,1.476151,0.010000,8.0796,4435.1235,0.0352,8.0514,4623.4702,0.0324,0.0234,0.0051,4.0460,18.0558,70.3150,4.7588,17.7496,67.6519,-8.1096,-8.1131,585.90
48,2.292784,2.299965,1.451118,1.471142,0.010000,8.1204,4450.7158,0.0357,8.0905,4635.8154,0.0326,0.0231,0.0050,4.0264,18.1723,70.3265,4.7501,17.7767,67.7897,-8.1495,-8.1546,751.29
49,2.291966,2.300020,1.450361,1.471049,0.010000,8.1641,4463.8770,0.0356,8.1297,4646.7427,0.0326,0.0229,0.0049,4.0225,18.2740,70.3321,4.7691,17.9151,67.6038,-8.1813,-8.1905,586.25
50,2.292701,2.301629,1.450641,1.476777,0.010000,8.2028,4478.1548,0.0358,8.1672,4658.4028,0.0328,0.0226,0.0048,4.0166,18.4440,70.1505,4.7559,18.0144,67.6194,-8.2229,-8.2295,586.16
51,2.287444,2.299453,1.445856,1.471815,0.010000,8.2410,4492.8032,0.0355,8.2034,4669.3584,0.0325,0.0222,0.0047,4.0393,18.5329,70.2705,4.7738,18.1429,67.5241,-8.2655,-8.2723,585.81
52,2.286673,2.295470,1.445491,1.465101,0.010000,8.2806,4505.3521,0.0357,8.2410,4678.7671,0.0328,0.0221,0.0046,4.0057,18.6180,70.3521,4.7476,18.2176,67.4783,-8.2949,-8.3018,619.36
53,2.285444,2.291891,1.443730,1.461235,0.010000,8.3151,4518.1387,0.0358,8.2757,4688.7695,0.0331,0.0217,0.0045,4.0191,18.7246,70.3481,4.7379,18.1806,67.8253,-8.3322,-8.3378,712.69
54,2.284630,2.293133,1.443652,1.462880,0.010000,8.3523,4530.4292,0.0358,8.3102,4698.0864,0.0327,0.0214,0.0044,4.0082,18.8621,70.2870,4.7581,18.3463,67.6047,-8.3666,-8.3766,591.34
55,2.282894,2.293528,1.442375,1.464899,0.010000,8.3859,4540.9668,0.0359,8.3423,4706.7749,0.0329,0.0212,0.0043,4.0242,18.9694,70.2663,4.7700,18.4393,67.5273,-8.3999,-8.4089,589.02
56,2.281924,2.290085,1.440162,1.459444,0.010000,8.4222,4552.1157,0.0359,8.3760,4715.2568,0.0331,0.0210,0.0042,4.0138,19.0547,70.3400,4.7519,18.4914,67.5605,-8.4289,-8.4374,588.80
57,2.280097,2.288876,1.438971,1.458679,0.010000,8.4526,4563.8843,0.0362,8.4075,4723.8125,0.0332,0.0207,0.0041,3.9913,19.1915,70.2477,4.7272,18.5426,67.6782,-8.4625,-8.4716,583.06
58,2.280848,2.291225,1.437573,1.459922,0.010000,8.4863,4574.5322,0.0356,8.4392,4731.7002,0.0326,0.0203,0.0040,4.0322,19.2534,70.3459,4.7875,18.7134,67.3782,-8.4984,-8.5090,583.80
59,2.277177,2.288384,1.435619,1.460154,0.010000,8.5164,4584.4004,0.0360,8.4682,4739.2573,0.0333,0.0201,0.0039,4.0202,19.4005,70.1955,4.7553,18.6412,67.7782,-8.5265,-8.5365,742.04
60,2.276378,2.286850,1.434809,1.455999,0.010000,8.5484,4594.6528,0.0359,8.4980,4746.7832,0.0329,0.0199,0.0038,4.0202,19.4842,70.2775,4.7724,18.7644,67.6541,-8.5568,-8.5691,589.37
61,2.276232,2.285518,1.435638,1.455263,0.010000,8.5779,4604.2275,0.0361,8.5267,4753.8188,0.0333,0.0197,0.0038,4.0055,19.5942,70.2436,4.7506,18.8345,67.6677,-8.5797,-8.5931,588.34
62,2.276433,2.283503,1.434582,1.451775,0.010000,8.6074,4612.7466,0.0364,8.5554,4760.3252,0.0333,0.0196,0.0037,3.9759,19.6841,70.2635,4.7367,18.9061,67.6516,-8.6055,-8.6201,584.56
63,2.274128,2.286769,1.433235,1.458785,0.010000,8.6348,4621.2593,0.0365,8.5812,4766.7490,0.0332,0.0193,0.0036,4.0015,19.8061,70.1499,4.7768,19.0112,67.5537,-8.6324,-8.6496,737.29
64,2.274983,2.290089,1.433560,1.461783,0.010000,8.6619,4631.2471,0.0358,8.6078,4773.3037,0.0327,0.0189,0.0035,4.0185,19.9108,70.1321,4.7916,19.1557,67.3106,-8.6640,-8.6795,815.01
