timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/04/03 19:22:32.753, 0 %, 0 %, 12984 MiB, 81, 95.49 W
2026/04/03 19:22:37.898, 100 %, 100 %, 12984 MiB, 84, 164.92 W
2026/04/03 19:22:42.899, 100 %, 100 %, 12984 MiB, 85, 196.58 W
2026/04/03 19:22:47.899, 100 %, 100 %, 12984 MiB, 85, 190.60 W
2026/04/03 19:22:52.959, 100 %, 100 %, 12984 MiB, 86, 186.27 W
2026/04/03 19:22:58.164, 17 %, 2 %, 12984 MiB, 84, 130.23 W
2026/04/03 19:23:03.165, 100 %, 100 %, 12984 MiB, 86, 196.91 W
2026/04/03 19:23:08.166, 100 %, 100 %, 12984 MiB, 86, 187.87 W
2026/04/03 19:23:13.166, 100 %, 100 %, 12984 MiB, 86, 181.36 W
2026/04/03 19:23:18.167, 100 %, 100 %, 12984 MiB, 86, 176.90 W
2026/04/03 19:23:23.294, 16 %, 2 %, 12984 MiB, 84, 126.03 W
2026/04/03 19:23:28.295, 100 %, 100 %, 12984 MiB, 86, 191.00 W
2026/04/03 19:23:33.295, 100 %, 100 %, 12984 MiB, 86, 183.10 W
2026/04/03 19:23:38.296, 100 %, 100 %, 12984 MiB, 86, 179.26 W
2026/04/03 19:23:43.297, 100 %, 100 %, 12984 MiB, 86, 174.66 W
2026/04/03 19:23:48.297, 0 %, 0 %, 12984 MiB, 84, 127.74 W
2026/04/03 19:23:53.298, 100 %, 100 %, 12984 MiB, 86, 187.57 W
2026/04/03 19:23:58.298, 100 %, 100 %, 12984 MiB, 86, 182.30 W
2026/04/03 19:24:03.299, 100 %, 100 %, 12984 MiB, 86, 177.01 W
2026/04/03 19:24:08.300, 0 %, 0 %, 12984 MiB, 85, 136.13 W
2026/04/03 19:24:13.300, 18 %, 21 %, 12984 MiB, 84, 128.48 W
2026/04/03 19:24:18.301, 100 %, 100 %, 12984 MiB, 86, 186.64 W
2026/04/03 19:24:23.301, 100 %, 100 %, 12984 MiB, 86, 181.48 W
2026/04/03 19:24:28.302, 100 %, 100 %, 12984 MiB, 86, 177.36 W
2026/04/03 19:24:33.303, 12 %, 2 %, 12984 MiB, 85, 118.89 W
2026/04/03 19:24:38.303, 100 %, 100 %, 12984 MiB, 86, 196.85 W
2026/04/03 19:24:43.304, 100 %, 100 %, 12984 MiB, 86, 186.10 W
2026/04/03 19:24:48.304, 100 %, 100 %, 12984 MiB, 86, 180.97 W
2026/04/03 19:24:53.305, 100 %, 100 %, 12984 MiB, 86, 176.77 W
2026/04/03 19:24:58.305, 13 %, 2 %, 12984 MiB, 85, 127.33 W
2026/04/03 19:25:03.306, 100 %, 100 %, 12984 MiB, 86, 196.98 W
2026/04/03 19:25:08.307, 100 %, 100 %, 12984 MiB, 86, 186.26 W
2026/04/03 19:25:13.307, 100 %, 100 %, 12984 MiB, 86, 181.60 W
2026/04/03 19:25:18.308, 100 %, 100 %, 12984 MiB, 86, 177.24 W
2026/04/03 19:25:23.308, 9 %, 1 %, 12984 MiB, 85, 128.58 W
2026/04/03 19:25:28.309, 100 %, 100 %, 12984 MiB, 86, 191.73 W
2026/04/03 19:25:33.310, 100 %, 100 %, 12984 MiB, 86, 184.76 W
2026/04/03 19:25:38.310, 100 %, 100 %, 12984 MiB, 86, 180.07 W
2026/04/03 19:25:43.311, 100 %, 100 %, 12984 MiB, 86, 176.26 W
2026/04/03 19:25:48.542, 18 %, 2 %, 12984 MiB, 83, 104.55 W
2026/04/03 19:25:53.543, 100 %, 100 %, 12984 MiB, 86, 193.96 W
2026/04/03 19:25:58.543, 100 %, 100 %, 12984 MiB, 86, 186.50 W
2026/04/03 19:26:03.544, 100 %, 100 %, 12984 MiB, 86, 181.49 W
2026/04/03 19:26:08.544, 100 %, 100 %, 12984 MiB, 86, 177.06 W
2026/04/03 19:26:13.545, 18 %, 21 %, 12984 MiB, 85, 131.25 W
2026/04/03 19:26:18.545, 100 %, 100 %, 12984 MiB, 86, 190.08 W
2026/04/03 19:26:23.546, 100 %, 100 %, 12984 MiB, 86, 183.52 W
