epoch,train_rmse,val_rmse,train_mae,val_mae,current_lr,C,h_base_0,h_base_1,h_active_0,h_active_1,T_thresh_0,T_thresh_1,beta_0,beta_1,k01,k10,q0,q1,epoch_time_sec
137,3.416360,3.474658,2.362554,2.500091,0.010000,987.1850,3.5884,4.0120,11.7547,11.4732,70.0381,66.0568,1.1474,0.9428,0.0250,0.0055,-8.1862,-8.4965,362.84
138,3.415550,3.473995,2.361928,2.499401,0.010000,987.3699,3.5872,4.0112,11.7838,11.4886,70.0335,66.0493,1.1518,0.9469,0.0249,0.0055,-8.2009,-8.5102,352.83
139,3.414941,3.473380,2.361435,2.498807,0.010000,987.5510,3.5862,4.0105,11.8130,11.5039,70.0282,66.0414,1.1562,0.9510,0.0248,0.0055,-8.2155,-8.5237,347.13
140,3.414114,3.472753,2.360789,2.498158,0.010000,987.7281,3.5851,4.0098,11.8417,11.5185,70.0238,66.0346,1.1605,0.9551,0.0247,0.0054,-8.2300,-8.5371,350.43
141,3.413706,3.472122,2.360424,2.497495,0.010000,987.9019,3.5841,4.0090,11.8703,11.5329,70.0198,66.0278,1.1649,0.9591,0.0246,0.0054,-8.2442,-8.5504,344.77
142,3.413359,3.471539,2.359896,2.496910,0.010000,988.0720,3.5832,4.0084,11.8988,11.5470,70.0155,66.0210,1.1692,0.9632,0.0245,0.0054,-8.2584,-8.5635,347.43
143,3.413158,3.470913,2.359678,2.496265,0.010000,988.2389,3.5820,4.0075,11.9273,11.5611,70.0108,66.0136,1.1734,0.9672,0.0244,0.0053,-8.2724,-8.5764,386.75
144,3.412755,3.470334,2.359357,2.495666,0.010000,988.4023,3.5811,4.0069,11.9554,11.5748,70.0069,66.0067,1.1777,0.9712,0.0244,0.0053,-8.2862,-8.5893,361.71
145,3.411950,3.469789,2.358691,2.495159,0.010000,988.5627,3.5802,4.0062,11.9836,11.5884,70.0015,65.9990,1.1819,0.9752,0.0243,0.0052,-8.3000,-8.6020,379.96
146,3.411180,3.469208,2.358095,2.494540,0.010000,988.7198,3.5792,4.0055,12.0115,11.6014,69.9978,65.9926,1.1861,0.9792,0.0242,0.0052,-8.3136,-8.6146,379.36
147,3.411699,3.468606,2.358292,2.493891,0.010000,988.8740,3.5780,4.0046,12.0392,11.6143,69.9938,65.9856,1.1902,0.9832,0.0241,0.0052,-8.3270,-8.6270,364.50
148,3.411317,3.468059,2.357970,2.493352,0.010000,989.0251,3.5771,4.0039,12.0669,11.6269,69.9894,65.9788,1.1944,0.9871,0.0240,0.0051,-8.3403,-8.6393,379.51
149,3.410711,3.467565,2.357449,2.492895,0.010000,989.1735,3.5763,4.0034,12.0945,11.6394,69.9846,65.9713,1.1985,0.9910,0.0239,0.0051,-8.3535,-8.6515,372.09
150,3.410039,3.466968,2.356887,2.492215,0.010000,989.3190,3.5751,4.0025,12.1218,11.6511,69.9814,65.9658,1.2026,0.9950,0.0239,0.0051,-8.3666,-8.6635,368.65
151,3.409808,3.466451,2.356597,2.491692,0.010000,989.4617,3.5743,4.0018,12.1490,11.6629,69.9775,65.9592,1.2067,0.9989,0.0238,0.0050,-8.3795,-8.6755,380.58
152,3.409169,3.465952,2.356201,2.491189,0.010000,989.6017,3.5734,4.0013,12.1761,11.6744,69.9735,65.9525,1.2107,1.0027,0.0237,0.0050,-8.3923,-8.6873,384.25
153,3.408816,3.465464,2.355873,2.490719,0.010000,989.7391,3.5726,4.0007,12.2032,11.6857,69.9689,65.9458,1.2147,1.0066,0.0236,0.0050,-8.4050,-8.6990,384.72
154,3.408819,3.464917,2.355691,2.490096,0.010000,989.8741,3.5715,4.0000,12.2298,11.6965,69.9660,65.9400,1.2187,1.0104,0.0235,0.0049,-8.4175,-8.7105,378.01
155,3.407576,3.464467,2.354827,2.489684,0.010000,990.0065,3.5708,3.9994,12.2566,11.7072,69.9615,65.9336,1.2227,1.0142,0.0235,0.0049,-8.4300,-8.7220,373.05
156,3.407656,3.463967,2.354788,2.489149,0.010000,990.1365,3.5698,3.9988,12.2832,11.7176,69.9578,65.9276,1.2266,1.0181,0.0234,0.0049,-8.4422,-8.7333,380.21
157,3.407363,3.463471,2.354322,2.488624,0.010000,990.2642,3.5689,3.9981,12.3096,11.7279,69.9545,65.9213,1.2306,1.0218,0.0233,0.0048,-8.4544,-8.7445,369.93
158,3.407379,3.462963,2.354275,2.488069,0.010000,990.3896,3.5680,3.9973,12.3359,11.7378,69.9512,65.9155,1.2345,1.0256,0.0232,0.0048,-8.4664,-8.7555,377.17
159,3.406981,3.462528,2.353958,2.487661,0.010000,990.5128,3.5671,3.9968,12.3624,11.7479,69.9463,65.9081,1.2384,1.0294,0.0232,0.0048,-8.4784,-8.7665,374.25
160,3.406118,3.462068,2.353353,2.487164,0.010000,990.6339,3.5662,3.9963,12.3884,11.7573,69.9432,65.9023,1.2422,1.0331,0.0231,0.0047,-8.4902,-8.7774,369.92
161,3.406283,3.461620,2.353330,2.486701,0.010000,990.7526,3.5654,3.9957,12.4144,11.7663,69.9396,65.8973,1.2460,1.0369,0.0230,0.0047,-8.5019,-8.7881,400.30
162,3.405689,3.461148,2.353002,2.486189,0.010000,990.8693,3.5646,3.9951,12.4401,11.7755,69.9372,65.8907,1.2499,1.0406,0.0229,0.0047,-8.5135,-8.7988,371.66
163,3.404972,3.460717,2.352432,2.485751,0.010000,990.9841,3.5637,3.9945,12.4660,11.7843,69.9330,65.8846,1.2536,1.0443,0.0229,0.0046,-8.5250,-8.8093,367.99
164,3.405328,3.460239,2.352516,2.485220,0.010000,991.0968,3.5628,3.9936,12.4916,11.7926,69.9299,65.8792,1.2574,1.0480,0.0228,0.0046,-8.5363,-8.8197,386.82
165,3.404939,3.459806,2.352201,2.484758,0.010000,991.2076,3.5618,3.9931,12.5173,11.8010,69.9263,65.8732,1.2612,1.0516,0.0227,0.0046,-8.5476,-8.8300,366.70
166,3.404829,3.459442,2.352065,2.484434,0.010000,991.3165,3.5613,3.9927,12.5429,11.8089,69.9222,65.8678,1.2649,1.0553,0.0226,0.0045,-8.5588,-8.8402,381.71
167,3.404094,3.459013,2.351475,2.483955,0.010000,991.4236,3.5605,3.9922,12.5680,11.8166,69.9198,65.8626,1.2686,1.0589,0.0226,0.0045,-8.5698,-8.8503,393.28
168,3.403333,3.458580,2.351024,2.483492,0.010000,991.5288,3.5596,3.9916,12.5933,11.8246,69.9165,65.8554,1.2723,1.0625,0.0225,0.0045,-8.5807,-8.8603,388.86
169,3.403636,3.458168,2.350788,2.483065,0.010000,991.6324,3.5587,3.9909,12.6186,11.8319,69.9127,65.8500,1.2759,1.0662,0.0224,0.0045,-8.5916,-8.8702,382.06
170,3.403872,3.457765,2.351015,2.482613,0.010000,991.7341,3.5580,3.9904,12.6434,11.8387,69.9106,65.8451,1.2796,1.0698,0.0224,0.0044,-8.6023,-8.8800,386.55
171,3.403297,3.457392,2.350546,2.482253,0.010000,991.8342,3.5573,3.9899,12.6686,11.8457,69.9066,65.8397,1.2832,1.0733,0.0223,0.0044,-8.6130,-8.8897,388.93
172,3.402966,3.456981,2.350212,2.481812,0.010000,991.9326,3.5564,3.9892,12.6936,11.8525,69.9028,65.8339,1.2868,1.0769,0.0222,0.0044,-8.6235,-8.8993,375.17
173,3.402680,3.456614,2.350208,2.481428,0.010000,992.0294,3.5557,3.9889,12.7183,11.8591,69.9001,65.8275,1.2904,1.0804,0.0222,0.0043,-8.6339,-8.9088,376.38
174,3.402080,3.456218,2.349437,2.480990,0.010000,992.1247,3.5549,3.9883,12.7429,11.8654,69.8977,65.8221,1.2939,1.0840,0.0221,0.0043,-8.6443,-8.9182,375.92
175,3.401682,3.455848,2.349326,2.480597,0.010000,992.2184,3.5541,3.9878,12.7676,11.8711,69.8942,65.8174,1.2975,1.0875,0.0220,0.0043,-8.6545,-8.9275,389.11
176,3.401282,3.455442,2.348879,2.480112,0.010000,992.3106,3.5533,3.9872,12.7919,11.8767,69.8925,65.8130,1.3010,1.0910,0.0219,0.0042,-8.6646,-8.9367,396.98
177,3.401888,3.455098,2.349115,2.479791,0.010000,992.4013,3.5527,3.9867,12.8164,11.8827,69.8888,65.8059,1.3045,1.0945,0.0219,0.0042,-8.6747,-8.9458,393.85
178,3.400908,3.454725,2.348558,2.479394,0.010000,992.4907,3.5517,3.9860,12.8410,11.8878,69.8845,65.8013,1.3079,1.0980,0.0218,0.0042,-8.6846,-8.9549,388.26
179,3.400558,3.454368,2.348269,2.478987,0.010000,992.5786,3.5510,3.9857,12.8650,11.8931,69.8830,65.7955,1.3114,1.1014,0.0218,0.0042,-8.6945,-8.9638,403.20
180,3.400367,3.454015,2.348102,2.478636,0.010000,992.6650,3.5504,3.9851,12.8893,11.8982,69.8797,65.7896,1.3149,1.1049,0.0217,0.0041,-8.7043,-8.9727,391.70
181,3.400407,3.453660,2.347993,2.478255,0.010000,992.7501,3.5497,3.9844,12.9134,11.9027,69.8767,65.7850,1.3183,1.1083,0.0216,0.0041,-8.7140,-8.9814,392.52
182,3.399258,3.453331,2.347223,2.477911,0.010000,992.8338,3.5489,3.9840,12.9375,11.9071,69.8735,65.7796,1.3217,1.1117,0.0216,0.0041,-8.7235,-8.9901,373.62
183,3.399320,3.452947,2.347200,2.477435,0.010000,992.9164,3.5481,3.9835,12.9612,11.9113,69.8721,65.7746,1.3251,1.1152,0.0215,0.0040,-8.7330,-8.9987,364.04
184,3.399350,3.452606,2.347142,2.477067,0.010000,992.9976,3.5474,3.9829,12.9851,11.9152,69.8694,65.7696,1.3284,1.1185,0.0214,0.0040,-8.7424,-9.0072,369.61
185,3.399393,3.452277,2.346915,2.476744,0.010000,993.0775,3.5466,3.9823,13.0091,11.9193,69.8655,65.7638,1.3318,1.1219,0.0214,0.0040,-8.7518,-9.0156,366.75
186,3.399351,3.451956,2.346933,2.476382,0.010000,993.1563,3.5459,3.9819,13.0327,11.9226,69.8632,65.7599,1.3351,1.1253,0.0213,0.0040,-8.7610,-9.0239,372.09
