epoch,train_rmse,val_rmse,train_mae,val_mae,current_lr,C,h_base_0,h_base_1,h_active_0,h_active_1,T_thresh_0,T_thresh_1,beta_0,beta_1,k01,k10,q0,q1,epoch_time_sec
32,3.858764,3.945695,2.745904,2.949272,0.010000,682.8010,3.7836,4.1180,6.2102,6.9487,70.8569,66.7968,0.4873,0.3971,0.0372,0.0110,-5.4252,-5.8884,348.83
33,3.826413,3.913462,2.718378,2.918526,0.010000,707.4227,3.7794,4.1185,6.3161,7.0211,70.8737,66.8453,0.4960,0.4036,0.0371,0.0110,-5.4644,-5.9287,341.00
34,3.797786,3.884307,2.693889,2.890757,0.010000,729.7698,3.7754,4.1186,6.4203,7.0955,70.8862,66.8861,0.5046,0.4101,0.0370,0.0109,-5.5034,-5.9683,340.84
35,3.771007,3.857996,2.671338,2.865720,0.010000,749.9713,3.7714,4.1184,6.5233,7.1715,70.8939,66.9203,0.5131,0.4165,0.0369,0.0109,-5.5421,-6.0072,342.14
36,3.748070,3.834289,2.651599,2.843137,0.010000,768.1512,3.7676,4.1179,6.6245,7.2481,70.8985,66.9495,0.5215,0.4229,0.0368,0.0108,-5.5807,-6.0455,341.43
37,3.725933,3.812957,2.633025,2.822827,0.010000,784.5255,3.7640,4.1175,6.7241,7.3259,70.9001,66.9723,0.5298,0.4292,0.0367,0.0107,-5.6191,-6.0834,343.20
38,3.706678,3.793652,2.616802,2.804421,0.010000,799.2543,3.7605,4.1169,6.8216,7.4039,70.8996,66.9908,0.5381,0.4354,0.0366,0.0107,-5.6573,-6.1208,345.75
39,3.690066,3.776109,2.602465,2.787847,0.010000,812.5204,3.7571,4.1160,6.9172,7.4818,70.8973,67.0059,0.5463,0.4417,0.0365,0.0106,-5.6952,-6.1577,343.43
40,3.673715,3.760224,2.588979,2.772935,0.010000,824.4958,3.7539,4.1152,7.0109,7.5598,70.8932,67.0165,0.5545,0.4478,0.0364,0.0105,-5.7331,-6.1942,342.70
41,3.659832,3.745718,2.576930,2.759323,0.010000,835.3255,3.7509,4.1144,7.1029,7.6375,70.8878,67.0244,0.5626,0.4539,0.0362,0.0105,-5.7706,-6.2304,342.78
