filename,k01_mean,k10_mean,k01_dt_mean,k10_dt_mean,k01_power_mean,k10_power_mean,k01_event_count,k10_event_count,is_valid_k01,is_valid_k10
12657143383484-r9352821-n43543_cleaned.parquet,,,,,,,0,0,False,False
12705440725832-r8642123-n911952_cleaned.parquet,,,,,,,0,0,False,False
12600180302996-r4327055-n139058_cleaned.parquet,,,,,,,0,0,False,False
12710302326646-r9535192-n911952_cleaned.parquet,,,,,,,0,0,False,False
12169119140450-r8939293-n136082_cleaned.parquet,,,,,,,0,0,False,False
12731443252710-r3741709-n976057_cleaned.parquet,,,,,,,0,0,False,False
12831845655325-r9352821-n851693_cleaned.parquet,,,,,,,0,0,False,False
12816541580451-r8333645-n386398_cleaned.parquet,,,,,,,0,0,False,False
1278063882854-r8579942-n208530_cleaned.parquet,,,,,,,0,0,False,False
12937147380893-r2652301-n911952_cleaned.parquet,,,,,,,0,0,False,False
12937147380893-r3879907-n139058_cleaned.parquet,,,,,,,0,0,False,False
11764409090132-r9102715-n911952_cleaned.parquet,,,,,,,0,0,False,False
12937147380893-r5189505-n911952_cleaned.parquet,,,,,,,0,0,False,False
12937147380893-r9189566-n911952_cleaned.parquet,,,,,,,0,0,False,False
13023227998226-r9175025-n386398_cleaned.parquet,,,,,,,0,0,False,False
13025374489198-r8937440-n976057_cleaned.parquet,,,,,,,0,0,False,False
12937147380893-r9535192-n976057_cleaned.parquet,,,,,,,0,0,False,False
12937147380893-r9192091-n911952_cleaned.parquet,,,,,,,0,0,False,False
13095696790043-r1457839-n911952_cleaned.parquet,,,,,,,0,0,False,False
13050550115587-r9040233-n911952_cleaned.parquet,,,,,,,0,0,False,False
13095696790043-r4229531-n911952_cleaned.parquet,,,,,,,0,0,False,False
13252242774089-r9352821-n386398_cleaned.parquet,,,,,,,0,0,False,False
13267040039230-r1485405-n976057_cleaned.parquet,0.03927420085523091,,7.0,,178.23405308239833,,1,0,True,False
13269625421951-r9040233-n911952_cleaned.parquet,0.07478008699145668,,12.0,,160.47052741956495,,1,0,True,False
13288727937236-r3741709-n851693_cleaned.parquet,,,,,,,0,0,False,False
12677774705714-r7217787-n685852_cleaned.parquet,,,,,,,0,0,False,False
13360081676981-r1682297-n685852_cleaned.parquet,,,,,,,0,0,False,False
13277476779215-r4229531-n911952_cleaned.parquet,,,,,,,0,0,False,False
13472182591515-r1485405-n386398_cleaned.parquet,,,,,,,0,0,False,False
12994488485579-r9102715-n386398_cleaned.parquet,,,,,,,0,0,False,False
13472182591515-r4179716-n851693_cleaned.parquet,,,,,,,0,0,False,False
13472182591515-r2652301-n386398_cleaned.parquet,,,,,,,0,0,False,False
13472182591515-r6272977-n851693_cleaned.parquet,,,,,,,0,0,False,False
13472182591515-r8333645-n386398_cleaned.parquet,,,,,,,0,0,False,False
13472182591515-r8642123-n911952_cleaned.parquet,,,,,,,0,0,False,False
13472182591515-r7343737-n386398_cleaned.parquet,,,,,,,0,0,False,False
13017978521049-r8642123-n976057_cleaned.parquet,,,,,,,0,0,False,False
13723611196250-r5189505-n386398_cleaned.parquet,,,,,,,0,0,False,False
13606952146380-r3041626-n851693_cleaned.parquet,,,,,,,0,0,False,False
13847056516669-r9352821-n386398_cleaned.parquet,,,,,,,0,0,False,False
12060126487006-r9720335-n976057_cleaned.parquet,,,,,,,0,0,False,False
13980215893700-r629115-n43543_cleaned.parquet,,,,,,,0,0,False,False
135953542729-r2582019-n911952_cleaned.parquet,,,,,,,0,0,False,False
13938382141662-r3041626-n851693_cleaned.parquet,,,,,,,0,0,False,False
1398849099647-r3226521-n976057_cleaned.parquet,,,,,,,0,0,False,False
14067658587295-r5715171-n136082_cleaned.parquet,,,,,,,0,0,False,False
14025411588785-r4229531-n851693_cleaned.parquet,,,,,,,0,0,False,False
14025411588785-r9040233-n851693_cleaned.parquet,,,,,,,0,0,False,False
14230986563376-r4327055-n139058_cleaned.parquet,,,,,,,0,0,False,False
14230986563376-r6760045-n830961_cleaned.parquet,,,,,,,0,0,False,False
14189051122201-r5715171-n136082_cleaned.parquet,,,,,,,0,0,False,False
1426680203801-r8607415-n386398_cleaned.parquet,,,,,,,0,0,False,False
14330795397528-r9175025-n386398_cleaned.parquet,,,,,,,0,0,False,False
1441035021516-r9720335-n976057_cleaned.parquet,,,,,,,0,0,False,False
144329733411-r9352821-n43543_cleaned.parquet,,,,,,,0,0,False,False
14442148887626-r3405251-n208530_cleaned.parquet,,,,,,,0,0,False,False
1448926179629-r2652301-n685852_cleaned.parquet,,,,,,,0,0,False,False
14513764185295-r3041626-n976057_cleaned.parquet,,,,,,,0,0,False,False
11385122798843-r1485405-n851693_cleaned.parquet,,,,,,,0,0,False,False
14318320293252-r7343737-n976057_cleaned.parquet,,,,,,,0,0,False,False
13853522679365-r4858666-n911952_cleaned.parquet,,,,,,,0,0,False,False
14626766980775-r629115-n830961_cleaned.parquet,,,,,,,0,0,False,False
14655254381796-r3041626-n911952_cleaned.parquet,0.019072266087690665,,3.0,,157.29646315789475,,1,0,True,False
14679152934687-r3117156-n136082_cleaned.parquet,,,,,,,0,0,False,False
14740767097798-r6272977-n976057_cleaned.parquet,,,,,,,0,0,False,False
14570382631842-r1457839-n976057_cleaned.parquet,0.011180403472036865,,1.8,,157.4029977777045,,5,0,True,False
14988645739542-r9189566-n911952_cleaned.parquet,,,,,,,0,0,False,False
14873323744391-r4822976-n208530_cleaned.parquet,,,,,,,0,0,False,False
15127267306367-r5189505-n386398_cleaned.parquet,,,,,,,0,0,False,False
14728686001366-r3226521-n43543_cleaned.parquet,,,,,,,0,0,False,False
15132497070115-r4327055-n136082_cleaned.parquet,,,,,,,0,0,False,False
14529616969905-r1485405-n386398_cleaned.parquet,0.01340199192456141,,2.3333333333333335,,172.22012075176633,,3,0,True,False
15154830804734-r5573787-n911952_cleaned.parquet,,,,,,,0,0,False,False
15252835569353-r629115-n911952_cleaned.parquet,,,,,,,0,0,False,False
15273230393997-r4858666-n685852_cleaned.parquet,,,,,,,0,0,False,False
15273230393997-r9192091-n386398_cleaned.parquet,,,,,,,0,0,False,False
15430532554025-r3041626-n851693_cleaned.parquet,,,,,,,0,0,False,False
1382613438743-r1457839-n911952_cleaned.parquet,,,,,,,0,0,False,False
15517221138292-r1682297-n386398_cleaned.parquet,,,,,,,0,0,False,False
1553812451175-r5189505-n851693_cleaned.parquet,,,,,,,0,0,False,False
15556909837714-r3741709-n830961_cleaned.parquet,,,,,,,0,0,False,False
1556113608070-r3879907-n208530_cleaned.parquet,,,,,,,0,0,False,False
15281788241578-r8939293-n208530_cleaned.parquet,,,,,,,0,0,False,False
15131391309478-r5130449-n136082_cleaned.parquet,,,,,,,0,0,False,False
15835726034825-r1682297-n386398_cleaned.parquet,,,,,,,0,0,False,False
15777308145909-r5189505-n976057_cleaned.parquet,,,,,,,0,0,False,False
15882775351946-r8937440-n830961_cleaned.parquet,,,,,,,0,0,False,False
15928675978677-r8333645-n386398_cleaned.parquet,,,,,,,0,0,False,False
15941173388788-r4822976-n139058_cleaned.parquet,,,,,,,0,0,False,False
16014325593248-r3741709-n830961_cleaned.parquet,,,,,,,0,0,False,False
16045756853190-r1485405-n976057_cleaned.parquet,,,,,,,0,0,False,False
15126541574528-r6760045-n911952_cleaned.parquet,,,,,,,0,0,False,False
14081814442047-r1457839-n911952_cleaned.parquet,,,,,,,0,0,False,False
15708427214504-r8579942-n208530_cleaned.parquet,,,,,,,0,0,False,False
16161012774930-r2652301-n851693_cleaned.parquet,,,,,,,0,0,False,False
16165275963595-r8062914-n139058_cleaned.parquet,,,,,,,0,0,False,False
16165275963595-r8939293-n139058_cleaned.parquet,,,,,,,0,0,False,False
15880924772653-r3475376-n136082_cleaned.parquet,,,,,,,0,0,False,False
16217229824252-r9102715-n976057_cleaned.parquet,0.00980902857742108,,1.75,,180.207314498269,,4,0,True,False
16173978461856-r9535192-n976057_cleaned.parquet,,,,,,,0,0,False,False
1635269393083-r9175025-n851693_cleaned.parquet,,,,,,,0,0,False,False
16368169734477-r9352821-n976057_cleaned.parquet,,,,,,,0,0,False,False
16181639986462-r9175025-n911952_cleaned.parquet,,,,,,,0,0,False,False
16430150832990-r1682297-n386398_cleaned.parquet,,,,,,,0,0,False,False
16420804149540-r7217787-n386398_cleaned.parquet,,,,,,,0,0,False,False
16265191664047-r8937440-n976057_cleaned.parquet,,,,,,,0,0,False,False
16519947679463-r9192091-n976057_cleaned.parquet,,,,,,,0,0,False,False
16181639986462-r9535192-n911952_cleaned.parquet,,,,,,,0,0,False,False
16525909343901-r2652301-n911952_cleaned.parquet,0.032600604624471244,,6.0,,184.04566630326156,,1,0,True,False
1669006475119-r9175025-n851693_cleaned.parquet,,,,,,,0,0,False,False
1614166817188-r8015356-n851693_cleaned.parquet,,,,,,,0,0,False,False
16697902973017-r9189566-n851693_cleaned.parquet,,,,,,,0,0,False,False
16567105007268-r9192091-n911952_cleaned.parquet,,,,,,,0,0,False,False
16794586841064-r5573787-n386398_cleaned.parquet,,,,,,,0,0,False,False
1633773993592-r6760045-n685852_cleaned.parquet,,,,,,,0,0,False,False
16823440697720-r9189566-n976057_cleaned.parquet,,,,,,,0,0,False,False
13157948250657-r9175025-n911952_cleaned.parquet,,,,,,,0,0,False,False
16861080915360-r8642123-n911952_cleaned.parquet,,,,,,,0,0,False,False
