timestamp,gpu_index,power_draw_W
1629194706.292,0,25.94
1629194706.295,1,26.64
1629194706.402,0,25.92
1629194706.408,1,26.61
1629194706.512,0,25.83
1629194706.515,1,26.7
1629194706.623,0,25.92
1629194706.626,1,26.62
1629194706.729,0,25.83
1629194706.737,1,26.62
1629194706.84,0,25.83
1629194706.843,1,26.73
1629194706.946,0,25.94
1629194706.949,1,26.64
1629194707.052,0,25.92
1629194707.057,1,26.62
1629194707.16,0,25.92
1629194707.163,1,26.62
1629194707.266,0,25.91
1629194707.269,1,26.61
1629194707.372,0,25.92
1629194707.379,1,26.72
1629194707.482,0,25.94
1629194707.485,1,26.64
1629194707.588,0,25.94
1629194707.591,1,26.64
1629194707.694,0,25.84
1629194707.699,1,26.64
1629194707.802,0,25.93
1629194707.806,1,26.63
1629194707.909,0,25.94
1629194707.912,1,26.74
1629194708.015,0,25.92
1629194708.019,1,26.72
1629194708.123,0,25.92
1629194708.126,1,26.63
1629194708.229,0,25.94
1629194708.232,1,26.64
1629194708.335,0,25.94
1629194708.341,1,26.64
1629194708.444,0,25.94
1629194708.448,1,26.64
1629194708.551,0,25.92
1629194708.554,1,26.72
1629194708.663,0,25.93
1629194708.666,1,26.72
1629194708.769,0,25.84
1629194708.772,1,26.64
1629194708.875,0,25.92
1629194708.882,1,26.63
1629194708.986,0,25.93
1629194708.989,1,26.64
1629194709.092,0,25.94
1629194709.095,1,26.63
1629194709.198,0,25.92
1629194709.203,1,26.62
1629194709.306,0,25.8
1629194709.309,1,26.6
1629194709.412,0,25.9
1629194709.415,1,26.7
1629194709.518,0,25.84
1629194709.524,1,26.74
1629194709.627,0,25.84
1629194709.63,1,26.74
1629194709.733,0,25.94
1629194709.736,1,26.64
1629194709.839,0,25.84
1629194709.845,1,26.64
1629194709.948,0,25.94
1629194709.951,1,26.64
1629194710.054,0,25.94
1629194710.057,1,26.64
1629194710.16,0,25.94
1629194710.166,1,26.64
1629194710.269,0,25.94
1629194710.272,1,26.64
1629194710.375,0,25.94
1629194710.378,1,26.64
1629194710.481,0,25.94
1629194710.487,1,26.64
1629194710.591,0,25.92
1629194710.594,1,26.72
1629194710.697,0,25.92
1629194710.707,1,26.62
1629194710.811,0,25.83
1629194710.814,1,26.72
1629194710.917,0,25.94
1629194710.92,1,26.73
1629194711.023,0,25.84
1629194711.028,1,26.64
1629194711.132,0,25.94
1629194711.135,1,26.64
1629194711.238,0,25.92
1629194711.241,1,26.73
1629194711.344,0,25.92
1629194711.35,1,26.73
1629194711.453,0,25.9
1629194711.456,1,26.6
1629194711.559,0,25.92
1629194711.562,1,26.63
1629194711.665,0,25.84
1629194711.669,1,26.64
1629194711.774,0,25.92
1629194711.777,1,26.63
1629194711.88,0,25.94
1629194711.89,1,26.64
1629194711.996,0,25.84
1629194711.999,1,26.74
1629194712.102,0,25.84
1629194712.11,1,26.64
1629194712.216,0,25.94
1629194712.219,1,26.74
1629194712.322,0,25.94
1629194712.331,1,26.64
1629194712.437,0,25.94
1629194712.44,1,26.64
1629194712.543,0,25.94
1629194712.551,1,26.64
1629194712.658,0,25.83
1629194712.661,1,26.62
1629194712.764,0,25.84
1629194712.772,1,26.83
1629194712.878,0,25.83
1629194712.881,1,26.83
1629194712.984,0,25.94
1629194712.993,1,26.63
1629194713.1,0,25.94
1629194713.103,1,26.63
1629194713.206,0,25.92
1629194713.213,1,26.73
1629194713.32,0,25.92
1629194713.323,1,26.63
1629194713.426,0,25.94
1629194713.434,1,26.74
1629194713.541,0,25.89
1629194713.544,1,26.59
1629194713.647,0,25.92
1629194713.654,1,26.63
1629194713.762,0,25.94
1629194713.765,1,26.64
1629194713.868,0,25.94
1629194713.874,1,26.75
1629194713.982,0,25.94
1629194713.985,1,26.65
1629194714.088,0,25.95
1629194714.095,1,26.74
1629194714.204,0,25.94
1629194714.207,1,26.65
1629194714.31,0,25.95
1629194714.317,1,26.75
1629194714.424,0,25.94
1629194714.427,1,26.65
1629194714.53,0,25.94
1629194714.537,1,26.74
1629194714.645,0,25.94
1629194714.648,1,26.65
1629194714.751,0,25.84
1629194714.757,1,26.73
1629194714.866,0,25.94
1629194714.869,1,26.73
1629194714.972,0,25.94
1629194714.978,1,26.73
1629194715.086,0,25.92
1629194715.089,1,26.72
1629194715.192,0,25.92
1629194715.199,1,26.71
1629194715.308,0,25.92
1629194715.311,1,26.63
1629194715.414,0,25.92
1629194715.419,1,26.62
1629194715.528,0,25.94
1629194715.531,1,26.64
1629194715.634,0,25.91
1629194715.64,1,26.7
1629194715.749,0,25.92
1629194715.752,1,26.63
1629194715.855,0,25.84
1629194715.861,1,26.74
1629194715.97,0,25.94
1629194715.973,1,26.64
1629194716.076,0,25.84
1629194716.081,1,26.64
1629194716.184,0,25.94
1629194716.187,1,26.65
1629194716.291,0,25.95
1629194716.294,1,26.65
1629194716.397,0,25.94
1629194716.403,1,26.64
1629194716.513,0,25.95
1629194716.522,1,26.65
1629194716.626,0,25.96
1629194716.629,1,26.66
1629194716.733,0,25.96
1629194716.736,1,26.66
1629194716.839,0,25.95
1629194716.844,1,26.65
1629194716.947,0,25.94
1629194716.95,1,26.64
1629194717.054,0,25.83
1629194717.064,1,26.73
1629194717.167,0,25.84
1629194717.17,1,26.63
1629194717.275,0,25.94
1629194717.285,1,26.64
1629194717.388,0,25.92
1629194717.391,1,26.63
1629194717.496,0,25.94
1629194717.505,1,26.64
1629194717.608,0,25.94
1629194717.611,1,26.64
1629194717.717,0,25.91
1629194717.725,1,26.61
1629194717.829,0,25.91
1629194717.832,1,26.6
1629194717.938,0,25.94
1629194717.946,1,26.64
1629194718.049,0,25.94
1629194718.052,1,26.64
1629194718.159,0,25.94
1629194718.167,1,26.64
1629194718.271,0,25.84
1629194718.274,1,26.64
1629194718.38,0,25.94
1629194718.388,1,26.64
1629194718.491,0,25.94
1629194718.494,1,26.73
1629194718.6,0,25.94
1629194718.609,1,26.64
1629194718.713,0,25.84
1629194718.716,1,26.64
1629194718.823,0,25.94
1629194718.83,1,26.64
1629194718.933,0,25.94
1629194718.936,1,26.63
1629194719.043,0,25.94
1629194719.051,1,26.53
1629194719.154,0,25.93
1629194719.157,1,26.73
1629194719.265,0,25.94
1629194719.271,1,26.64
1629194719.374,0,25.94
1629194719.377,1,26.64
1629194719.485,0,25.94
1629194719.492,1,26.64
1629194719.595,0,25.93
1629194719.598,1,26.63
1629194719.706,0,25.83
1629194719.712,1,26.61
1629194719.816,0,25.89
1629194719.819,1,26.6
1629194719.929,0,25.91
1629194719.933,1,26.6
1629194720.077,0,25.94
1629194720.08,1,26.64
1629194720.183,0,25.94
1629194720.186,1,26.73
1629194720.291,0,25.84
1629194720.294,1,26.64
1629194720.397,0,25.94
1629194720.4,1,26.74
1629194720.503,0,25.94
1629194720.506,1,26.64
1629194720.613,0,25.84
1629194720.616,1,26.64
1629194720.719,0,25.84
1629194720.722,1,26.65
1629194720.825,0,25.94
1629194720.828,1,26.64
1629194720.936,0,25.94
1629194720.939,1,26.65
1629194721.042,0,25.84
1629194721.045,1,26.65
1629194721.148,0,25.92
1629194721.156,1,26.61
1629194721.259,0,25.91
1629194721.262,1,26.72
1629194721.365,0,25.92
1629194721.368,1,26.72
1629194721.471,0,25.91
1629194721.477,1,26.7
1629194721.58,0,25.99
1629194721.583,1,26.69
1629194721.686,0,26.02
1629194721.689,1,26.62
1629194721.792,0,25.91
1629194721.797,1,26.7
1629194721.902,0,25.9
1629194721.905,1,26.79
1629194722.008,0,25.89
1629194722.018,1,26.78
1629194722.124,0,25.88
1629194722.127,1,26.58
1629194722.23,0,25.99
1629194722.239,1,26.69
1629194722.347,0,25.9
1629194722.35,1,26.79
1629194722.453,0,25.79
1629194722.459,1,26.69
1629194722.567,0,25.8
1629194722.57,1,26.61
1629194722.673,0,25.99
1629194722.679,1,26.69
1629194722.788,0,25.91
1629194722.791,1,26.7
1629194722.894,0,25.8
1629194722.9,1,26.69
1629194723.01,0,25.89
1629194723.013,1,26.79
1629194723.116,0,25.89
1629194723.121,1,26.79
1629194723.224,0,25.91
1629194723.227,1,26.71
1629194723.332,0,25.91
1629194723.341,1,26.61
1629194723.445,0,25.92
1629194723.448,1,26.62
1629194723.555,0,25.92
1629194723.562,1,26.63
1629194723.666,0,25.83
1629194723.669,1,26.61
1629194723.775,0,25.99
1629194723.782,1,26.69
1629194723.886,0,25.92
1629194723.888,1,26.62
1629194723.996,0,25.94
1629194724.003,1,26.64
1629194724.106,0,25.92
1629194724.109,1,26.62
1629194724.212,0,25.94
1629194724.215,1,26.64
1629194724.319,0,25.84
1629194724.323,1,26.74
1629194724.426,0,25.92
1629194724.429,1,26.62
1629194724.532,0,25.84
1629194724.535,1,26.64
1629194724.641,0,25.94
1629194724.646,1,26.64
1629194724.749,0,25.84
1629194724.752,1,26.64
1629194724.856,0,26.04
1629194724.865,1,26.64
1629194724.969,0,26.04
1629194724.972,1,26.73
1629194725.075,0,25.92
1629194725.078,1,26.72
1629194725.185,0,25.92
1629194725.188,1,26.62
1629194725.291,0,25.92
1629194725.294,1,26.63
1629194725.397,0,25.94
1629194725.406,1,26.64
1629194725.509,0,25.93
1629194725.512,1,26.63
1629194725.615,0,25.84
1629194725.619,1,26.64
1629194725.722,0,25.94
1629194725.727,1,26.64
1629194725.83,0,25.89
1629194725.833,1,26.69
1629194725.936,0,25.81
1629194725.939,1,26.7
1629194726.042,0,25.94
1629194726.049,1,26.64
1629194726.153,0,25.94
1629194726.156,1,26.64
1629194726.259,0,25.94
1629194726.268,1,26.64
1629194726.374,0,25.84
1629194726.377,1,26.74
1629194726.48,0,25.94
1629194726.488,1,26.73
1629194726.595,0,25.94
1629194726.598,1,26.65
1629194726.701,0,25.94
1629194726.71,1,26.74
1629194726.817,0,25.95
1629194726.82,1,26.66
