timestamp,gpu_index,power_draw_W
1623018353.606,0,54.27
1623018353.609,1,48.74
1623018353.712,0,51.94
1623018353.715,1,48.52
1623018353.818,0,51.99
1623018353.823,1,48.24
1623018353.926,0,52.01
1623018353.929,1,48.28
1623018354.032,0,52.05
1623018354.035,1,48.23
1623018354.138,0,51.88
1623018354.141,1,48.35
1623018354.243,0,51.87
1623018354.246,1,48.24
1623018354.349,0,51.79
1623018354.352,1,48.26
1623018354.455,0,51.76
1623018354.458,1,48.23
1623018354.561,0,51.79
1623018354.565,1,48.2
1623018354.67,0,51.67
1623018354.673,1,48.14
1623018354.776,0,51.7
1623018354.779,1,48.16
1623018354.882,0,51.67
1623018354.886,1,48.13
1623018354.988,0,51.65
1623018354.993,1,48.23
1623018355.096,0,51.59
1623018355.099,1,47.96
1623018355.202,0,51.59
1623018355.207,1,48.04
1623018355.31,0,51.62
1623018355.313,1,48.16
1623018355.42,0,51.57
1623018355.423,1,47.95
1623018355.526,0,51.62
1623018355.528,1,48.1
1623018355.631,0,51.59
1623018355.634,1,47.97
1623018355.737,0,51.59
1623018355.74,1,47.97
1623018355.843,0,51.47
1623018355.849,1,47.94
1623018355.952,0,51.57
1623018355.954,1,47.94
1623018356.057,0,51.49
1623018356.06,1,47.96
1623018356.163,0,51.5
1623018356.166,1,47.87
1623018356.269,0,51.43
1623018356.272,1,47.9
1623018356.375,0,51.38
1623018356.378,1,47.85
1623018356.481,0,51.49
1623018356.484,1,47.87
1623018356.586,0,51.4
1623018356.59,1,47.76
1623018356.696,0,51.41
1623018356.699,1,47.87
1623018356.802,0,51.39
1623018356.804,1,47.85
1623018356.907,0,51.36
1623018356.911,1,47.84
1623018357.014,0,51.29
1623018357.017,1,47.76
1623018357.122,0,51.3
1623018357.124,1,47.78
1623018357.227,0,51.24
1623018357.232,1,47.8
1623018357.335,0,51.27
1623018357.338,1,47.74
1623018357.441,0,50.7
1623018357.443,1,47.78
1623018357.552,0,51.29
1623018357.572,1,47.66
1623018357.675,0,50.63
1623018357.678,1,47.68
1623018357.781,0,51.3
1623018357.784,1,47.66
1623018357.887,0,51.33
1623018357.889,1,47.62
1623018357.992,0,51.19
1623018357.995,1,47.68
1623018358.099,0,51.2
1623018358.102,1,47.68
1623018358.205,0,51.19
1623018358.208,1,47.63
1623018358.311,0,51.19
1623018358.314,1,47.65
1623018358.417,0,51.1
1623018358.423,1,47.68
1623018358.527,0,51.2
1623018358.53,1,47.58
1623018358.633,0,51.03
1623018358.635,1,47.58
1623018358.738,0,51.1
1623018358.743,1,47.65
1623018358.846,0,51.1
1623018358.849,1,47.68
1623018358.955,0,51.08
1623018358.958,1,47.55
1623018359.061,0,51.18
1623018359.064,1,47.55
1623018359.167,0,51.04
1623018359.17,1,47.59
1623018359.273,0,50.95
1623018359.276,1,47.52
1623018359.378,0,50.98
1623018359.381,1,47.55
1623018359.489,0,50.98
1623018359.492,1,47.53
1623018359.595,0,50.99
1623018359.598,1,47.46
1623018359.701,0,51.05
1623018359.705,1,47.62
1623018359.808,0,51.0
1623018359.811,1,47.58
1623018359.917,0,50.97
1623018359.92,1,47.53
1623018360.023,0,50.99
1623018360.026,1,47.55
1623018360.129,0,51.03
1623018360.132,1,47.58
1623018360.235,0,50.95
1623018360.238,1,47.52
1623018360.341,0,50.99
1623018360.347,1,47.49
1623018360.45,0,50.92
1623018360.453,1,47.49
1623018360.555,0,50.86
1623018360.558,1,47.41
1623018360.661,0,50.99
1623018360.667,1,47.37
