timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/03/27 18:07:08.674, 0 %, 0 %, 243 MiB, 52
2026/03/27 18:07:13.678, 0 %, 0 %, 439 MiB, 52
2026/03/27 18:07:18.679, 7 %, 1 %, 8581 MiB, 58
2026/03/27 18:07:23.679, 79 %, 52 %, 9381 MiB, 64
2026/03/27 18:07:28.680, 97 %, 76 %, 9381 MiB, 66
2026/03/27 18:07:33.681, 72 %, 50 %, 9381 MiB, 67
2026/03/27 18:07:38.681, 71 %, 52 %, 9381 MiB, 70
2026/03/27 18:07:43.939, 97 %, 70 %, 9381 MiB, 72
2026/03/27 18:07:48.940, 72 %, 49 %, 9381 MiB, 74
2026/03/27 18:07:53.941, 94 %, 68 %, 9381 MiB, 76
2026/03/27 18:07:58.941, 85 %, 62 %, 9381 MiB, 78
2026/03/27 18:08:03.942, 79 %, 54 %, 9381 MiB, 78
2026/03/27 18:08:08.943, 90 %, 62 %, 9381 MiB, 79
2026/03/27 18:08:13.944, 100 %, 74 %, 9381 MiB, 79
2026/03/27 18:08:18.944, 84 %, 61 %, 9381 MiB, 81
2026/03/27 18:08:23.945, 79 %, 50 %, 9381 MiB, 81
2026/03/27 18:08:28.946, 62 %, 41 %, 9381 MiB, 82
2026/03/27 18:08:33.947, 60 %, 39 %, 9381 MiB, 82
2026/03/27 18:08:38.947, 81 %, 50 %, 9381 MiB, 83
2026/03/27 18:08:43.948, 97 %, 67 %, 9381 MiB, 82
2026/03/27 18:08:48.949, 97 %, 67 %, 9381 MiB, 82
2026/03/27 18:08:53.950, 97 %, 71 %, 9381 MiB, 84
2026/03/27 18:08:58.951, 97 %, 75 %, 9381 MiB, 84
2026/03/27 18:09:03.951, 71 %, 51 %, 9381 MiB, 84
2026/03/27 18:09:08.952, 83 %, 54 %, 9381 MiB, 84
2026/03/27 18:09:13.953, 99 %, 73 %, 9381 MiB, 84
2026/03/27 18:09:18.954, 98 %, 69 %, 9381 MiB, 84
2026/03/27 18:09:23.954, 97 %, 74 %, 9381 MiB, 85
2026/03/27 18:09:28.955, 81 %, 55 %, 9381 MiB, 85
2026/03/27 18:09:33.956, 73 %, 50 %, 9381 MiB, 85
2026/03/27 18:09:38.957, 81 %, 57 %, 9381 MiB, 85
2026/03/27 18:09:43.958, 72 %, 52 %, 9381 MiB, 85
2026/03/27 18:09:48.959, 88 %, 59 %, 9381 MiB, 85
2026/03/27 18:09:53.959, 97 %, 71 %, 9381 MiB, 85
2026/03/27 18:09:58.960, 96 %, 69 %, 9381 MiB, 85
2026/03/27 18:10:03.961, 97 %, 67 %, 9381 MiB, 85
2026/03/27 18:10:08.962, 97 %, 69 %, 9381 MiB, 85
2026/03/27 18:10:13.963, 97 %, 68 %, 9381 MiB, 86
2026/03/27 18:10:18.963, 97 %, 71 %, 9381 MiB, 86
2026/03/27 18:10:23.964, 98 %, 68 %, 9381 MiB, 86
2026/03/27 18:10:28.965, 97 %, 76 %, 9381 MiB, 86
2026/03/27 18:10:33.966, 97 %, 75 %, 9381 MiB, 86
2026/03/27 18:10:38.967, 97 %, 75 %, 9381 MiB, 86
2026/03/27 18:10:43.968, 97 %, 71 %, 9381 MiB, 86
2026/03/27 18:10:48.968, 93 %, 66 %, 9381 MiB, 86
2026/03/27 18:10:53.969, 97 %, 72 %, 9381 MiB, 86
2026/03/27 18:10:58.970, 97 %, 75 %, 9381 MiB, 85
2026/03/27 18:11:03.971, 77 %, 52 %, 9381 MiB, 85
2026/03/27 18:11:08.972, 76 %, 50 %, 9381 MiB, 85
2026/03/27 18:11:13.972, 71 %, 48 %, 9381 MiB, 85
2026/03/27 18:11:18.973, 72 %, 49 %, 9381 MiB, 86
2026/03/27 18:11:23.974, 79 %, 52 %, 9381 MiB, 86
2026/03/27 18:11:28.975, 100 %, 70 %, 9381 MiB, 86
2026/03/27 18:11:33.976, 97 %, 66 %, 9381 MiB, 86
2026/03/27 18:11:38.977, 97 %, 72 %, 9381 MiB, 86
2026/03/27 18:11:43.977, 97 %, 72 %, 9381 MiB, 86
2026/03/27 18:11:48.978, 83 %, 59 %, 9381 MiB, 85
2026/03/27 18:11:53.979, 72 %, 44 %, 9381 MiB, 86
2026/03/27 18:11:58.980, 97 %, 70 %, 9381 MiB, 85
2026/03/27 18:12:03.981, 97 %, 68 %, 9381 MiB, 85
2026/03/27 18:12:08.981, 97 %, 71 %, 9381 MiB, 85
2026/03/27 18:12:13.982, 97 %, 72 %, 9381 MiB, 85
2026/03/27 18:12:18.983, 97 %, 67 %, 9381 MiB, 85
2026/03/27 18:12:23.984, 97 %, 68 %, 9381 MiB, 85
2026/03/27 18:12:28.984, 88 %, 61 %, 9381 MiB, 85
2026/03/27 18:12:33.985, 98 %, 69 %, 9381 MiB, 85
2026/03/27 18:12:38.986, 97 %, 68 %, 9381 MiB, 85
2026/03/27 18:12:43.987, 100 %, 73 %, 9381 MiB, 85
2026/03/27 18:12:48.987, 97 %, 73 %, 9381 MiB, 85
2026/03/27 18:12:53.988, 91 %, 66 %, 9381 MiB, 84
2026/03/27 18:12:58.989, 71 %, 50 %, 9381 MiB, 84
2026/03/27 18:13:03.990, 76 %, 48 %, 9381 MiB, 85
2026/03/27 18:13:08.991, 97 %, 70 %, 9381 MiB, 85
2026/03/27 18:13:13.991, 81 %, 56 %, 9381 MiB, 84
2026/03/27 18:13:18.992, 70 %, 48 %, 9381 MiB, 85
2026/03/27 18:13:23.993, 78 %, 48 %, 9381 MiB, 85
2026/03/27 18:13:28.994, 100 %, 73 %, 9381 MiB, 85
2026/03/27 18:13:33.995, 97 %, 74 %, 9381 MiB, 85
2026/03/27 18:13:38.995, 77 %, 50 %, 9381 MiB, 84
2026/03/27 18:13:43.996, 75 %, 50 %, 9381 MiB, 84
2026/03/27 18:13:48.997, 85 %, 59 %, 9381 MiB, 84
2026/03/27 18:13:53.998, 97 %, 68 %, 9381 MiB, 85
2026/03/27 18:13:58.999, 97 %, 73 %, 9381 MiB, 85
2026/03/27 18:14:04.000, 91 %, 67 %, 9381 MiB, 85
2026/03/27 18:14:09.000, 76 %, 55 %, 9381 MiB, 85
2026/03/27 18:14:14.001, 76 %, 53 %, 9381 MiB, 85
2026/03/27 18:14:19.002, 75 %, 52 %, 9381 MiB, 85
2026/03/27 18:14:24.003, 70 %, 45 %, 9381 MiB, 85
2026/03/27 18:14:29.003, 79 %, 53 %, 9381 MiB, 85
2026/03/27 18:14:34.004, 89 %, 62 %, 9381 MiB, 85
2026/03/27 18:14:39.005, 94 %, 69 %, 9381 MiB, 85
2026/03/27 18:14:44.006, 72 %, 46 %, 9381 MiB, 85
2026/03/27 18:14:49.006, 91 %, 64 %, 9381 MiB, 85
2026/03/27 18:14:54.007, 97 %, 72 %, 9381 MiB, 85
2026/03/27 18:14:59.008, 93 %, 68 %, 9381 MiB, 85
2026/03/27 18:15:04.008, 75 %, 54 %, 9381 MiB, 84
2026/03/27 18:15:09.009, 97 %, 72 %, 9381 MiB, 85
2026/03/27 18:15:14.010, 97 %, 76 %, 9381 MiB, 85
2026/03/27 18:15:19.011, 70 %, 49 %, 9381 MiB, 84
2026/03/27 18:15:24.012, 97 %, 76 %, 9381 MiB, 85
2026/03/27 18:15:29.012, 71 %, 44 %, 9381 MiB, 85
2026/03/27 18:15:34.013, 92 %, 67 %, 9381 MiB, 84
2026/03/27 18:15:39.014, 97 %, 75 %, 9381 MiB, 85
2026/03/27 18:15:44.015, 86 %, 62 %, 9381 MiB, 84
2026/03/27 18:15:49.016, 80 %, 58 %, 9381 MiB, 84
2026/03/27 18:15:54.016, 77 %, 53 %, 9381 MiB, 84
2026/03/27 18:15:59.017, 79 %, 57 %, 9381 MiB, 85
2026/03/27 18:16:04.018, 76 %, 48 %, 9381 MiB, 85
2026/03/27 18:16:09.019, 100 %, 71 %, 9381 MiB, 85
2026/03/27 18:16:14.020, 97 %, 74 %, 9381 MiB, 85
2026/03/27 18:16:19.020, 96 %, 71 %, 9381 MiB, 84
2026/03/27 18:16:24.021, 70 %, 51 %, 9381 MiB, 85
2026/03/27 18:16:29.022, 88 %, 60 %, 9381 MiB, 85
2026/03/27 18:16:34.023, 97 %, 73 %, 9381 MiB, 85
2026/03/27 18:16:39.024, 83 %, 58 %, 9381 MiB, 84
2026/03/27 18:16:44.024, 71 %, 49 %, 9381 MiB, 84
2026/03/27 18:16:49.025, 73 %, 49 %, 9381 MiB, 84
2026/03/27 18:16:54.026, 80 %, 58 %, 9381 MiB, 84
2026/03/27 18:16:59.027, 71 %, 49 %, 9381 MiB, 85
2026/03/27 18:17:04.028, 97 %, 67 %, 9381 MiB, 85
2026/03/27 18:17:09.029, 81 %, 55 %, 9381 MiB, 84
2026/03/27 18:17:14.029, 71 %, 44 %, 9381 MiB, 85
2026/03/27 18:17:19.030, 97 %, 67 %, 9381 MiB, 85
2026/03/27 18:17:24.031, 97 %, 76 %, 9381 MiB, 85
2026/03/27 18:17:29.031, 80 %, 53 %, 9381 MiB, 85
2026/03/27 18:17:34.032, 77 %, 52 %, 9381 MiB, 84
2026/03/27 18:17:39.033, 97 %, 68 %, 9381 MiB, 85
2026/03/27 18:17:44.034, 97 %, 72 %, 9381 MiB, 85
2026/03/27 18:17:49.035, 97 %, 75 %, 9381 MiB, 85
2026/03/27 18:17:54.035, 77 %, 53 %, 9381 MiB, 84
2026/03/27 18:17:59.036, 97 %, 67 %, 9381 MiB, 84
2026/03/27 18:18:04.037, 97 %, 71 %, 9381 MiB, 85
2026/03/27 18:18:09.038, 82 %, 55 %, 9381 MiB, 85
2026/03/27 18:18:14.039, 78 %, 52 %, 9381 MiB, 85
2026/03/27 18:18:19.039, 77 %, 53 %, 9381 MiB, 85
2026/03/27 18:18:24.040, 98 %, 69 %, 9381 MiB, 84
2026/03/27 18:18:29.041, 97 %, 76 %, 9381 MiB, 85
2026/03/27 18:18:34.041, 81 %, 54 %, 9381 MiB, 85
2026/03/27 18:18:39.042, 98 %, 73 %, 9381 MiB, 84
2026/03/27 18:18:44.043, 97 %, 74 %, 9381 MiB, 85
2026/03/27 18:18:49.044, 73 %, 50 %, 9381 MiB, 85
2026/03/27 18:18:54.044, 97 %, 69 %, 9381 MiB, 85
2026/03/27 18:18:59.045, 97 %, 72 %, 9381 MiB, 85
2026/03/27 18:19:04.046, 80 %, 52 %, 9381 MiB, 85
2026/03/27 18:19:09.047, 97 %, 74 %, 9381 MiB, 85
2026/03/27 18:19:14.047, 80 %, 55 %, 9381 MiB, 85
2026/03/27 18:19:19.048, 81 %, 51 %, 9381 MiB, 85
2026/03/27 18:19:24.049, 97 %, 68 %, 9381 MiB, 85
2026/03/27 18:19:29.049, 78 %, 52 %, 9381 MiB, 85
2026/03/27 18:19:34.050, 72 %, 47 %, 9381 MiB, 85
2026/03/27 18:19:39.051, 82 %, 50 %, 9381 MiB, 85
2026/03/27 18:19:44.052, 100 %, 72 %, 9381 MiB, 85
2026/03/27 18:19:49.053, 97 %, 74 %, 9381 MiB, 85
2026/03/27 18:19:54.053, 76 %, 52 %, 9381 MiB, 85
2026/03/27 18:19:59.054, 90 %, 66 %, 9381 MiB, 85
2026/03/27 18:20:04.055, 97 %, 73 %, 9381 MiB, 84
2026/03/27 18:20:09.055, 91 %, 65 %, 9381 MiB, 85
2026/03/27 18:20:14.056, 97 %, 71 %, 9381 MiB, 85
2026/03/27 18:20:19.057, 98 %, 73 %, 9381 MiB, 85
2026/03/27 18:20:24.058, 81 %, 52 %, 9381 MiB, 85
2026/03/27 18:20:29.059, 91 %, 64 %, 9381 MiB, 84
2026/03/27 18:20:34.059, 90 %, 66 %, 9381 MiB, 85
2026/03/27 18:20:39.060, 94 %, 68 %, 9381 MiB, 84
2026/03/27 18:20:44.061, 97 %, 74 %, 9381 MiB, 85
2026/03/27 18:20:49.062, 77 %, 48 %, 9381 MiB, 86
2026/03/27 18:20:54.062, 84 %, 53 %, 9381 MiB, 85
2026/03/27 18:20:59.063, 78 %, 54 %, 9381 MiB, 85
2026/03/27 18:21:04.064, 81 %, 50 %, 9381 MiB, 85
2026/03/27 18:21:09.065, 97 %, 67 %, 9381 MiB, 84
2026/03/27 18:21:14.065, 74 %, 48 %, 9381 MiB, 85
2026/03/27 18:21:19.066, 84 %, 60 %, 9381 MiB, 85
2026/03/27 18:21:24.067, 87 %, 60 %, 9381 MiB, 85
2026/03/27 18:21:29.068, 80 %, 55 %, 9381 MiB, 85
2026/03/27 18:21:34.068, 97 %, 68 %, 9381 MiB, 84
2026/03/27 18:21:39.069, 77 %, 53 %, 9381 MiB, 85
2026/03/27 18:21:44.070, 80 %, 56 %, 9381 MiB, 85
2026/03/27 18:21:49.071, 72 %, 45 %, 9381 MiB, 85
2026/03/27 18:21:54.072, 76 %, 50 %, 9381 MiB, 84
2026/03/27 18:21:59.072, 91 %, 67 %, 9381 MiB, 85
2026/03/27 18:22:04.073, 94 %, 67 %, 9381 MiB, 84
2026/03/27 18:22:09.074, 71 %, 50 %, 9381 MiB, 85
2026/03/27 18:22:14.075, 97 %, 72 %, 9381 MiB, 85
2026/03/27 18:22:19.076, 72 %, 44 %, 9381 MiB, 85
2026/03/27 18:22:24.076, 86 %, 62 %, 9381 MiB, 85
2026/03/27 18:22:29.077, 95 %, 68 %, 9381 MiB, 84
2026/03/27 18:22:34.078, 71 %, 44 %, 9381 MiB, 85
2026/03/27 18:22:39.079, 93 %, 69 %, 9381 MiB, 85
2026/03/27 18:22:44.079, 98 %, 72 %, 9381 MiB, 84
2026/03/27 18:22:49.080, 78 %, 52 %, 9381 MiB, 84
2026/03/27 18:22:54.081, 69 %, 48 %, 9381 MiB, 85
2026/03/27 18:22:59.082, 96 %, 75 %, 9381 MiB, 85
2026/03/27 18:23:04.082, 94 %, 67 %, 9381 MiB, 85
2026/03/27 18:23:09.083, 97 %, 72 %, 9381 MiB, 85
2026/03/27 18:23:14.084, 96 %, 72 %, 9381 MiB, 85
2026/03/27 18:23:19.085, 83 %, 56 %, 9381 MiB, 85
2026/03/27 18:23:24.085, 72 %, 49 %, 9381 MiB, 84
2026/03/27 18:23:29.086, 97 %, 67 %, 9381 MiB, 85
2026/03/27 18:23:34.087, 97 %, 68 %, 9381 MiB, 85
2026/03/27 18:23:39.088, 71 %, 44 %, 9381 MiB, 85
2026/03/27 18:23:44.088, 96 %, 74 %, 9381 MiB, 85
2026/03/27 18:23:49.089, 77 %, 53 %, 9381 MiB, 84
2026/03/27 18:23:54.090, 71 %, 44 %, 9381 MiB, 85
2026/03/27 18:23:59.091, 80 %, 57 %, 9381 MiB, 85
2026/03/27 18:24:04.091, 97 %, 71 %, 9381 MiB, 85
2026/03/27 18:24:09.092, 98 %, 72 %, 9381 MiB, 85
2026/03/27 18:24:14.093, 90 %, 66 %, 9381 MiB, 85
2026/03/27 18:24:19.094, 97 %, 66 %, 9381 MiB, 85
2026/03/27 18:24:24.095, 71 %, 51 %, 9381 MiB, 85
2026/03/27 18:24:29.096, 83 %, 58 %, 9381 MiB, 85
2026/03/27 18:24:34.096, 97 %, 73 %, 9381 MiB, 85
2026/03/27 18:24:39.097, 72 %, 45 %, 9381 MiB, 85
2026/03/27 18:24:44.098, 97 %, 73 %, 9381 MiB, 85
2026/03/27 18:24:49.099, 99 %, 73 %, 9381 MiB, 85
2026/03/27 18:24:54.100, 71 %, 45 %, 9381 MiB, 85
2026/03/27 18:24:59.100, 71 %, 53 %, 9381 MiB, 84
2026/03/27 18:25:04.101, 97 %, 71 %, 9381 MiB, 85
2026/03/27 18:25:09.102, 70 %, 47 %, 9381 MiB, 85
2026/03/27 18:25:14.103, 69 %, 42 %, 9381 MiB, 85
2026/03/27 18:25:19.104, 96 %, 74 %, 9381 MiB, 85
2026/03/27 18:25:24.104, 84 %, 56 %, 9381 MiB, 85
2026/03/27 18:25:29.105, 77 %, 53 %, 9381 MiB, 84
2026/03/27 18:25:34.106, 100 %, 72 %, 9381 MiB, 85
2026/03/27 18:25:39.107, 70 %, 43 %, 9381 MiB, 85
2026/03/27 18:25:44.107, 70 %, 43 %, 9381 MiB, 85
2026/03/27 18:25:49.108, 97 %, 67 %, 9381 MiB, 85
2026/03/27 18:25:54.109, 93 %, 68 %, 9381 MiB, 84
2026/03/27 18:25:59.110, 66 %, 46 %, 9381 MiB, 84
2026/03/27 18:26:04.111, 76 %, 54 %, 9381 MiB, 84
2026/03/27 18:26:09.112, 97 %, 73 %, 9381 MiB, 85
2026/03/27 18:26:14.112, 72 %, 48 %, 9381 MiB, 85
2026/03/27 18:26:19.113, 77 %, 52 %, 9381 MiB, 84
2026/03/27 18:26:24.114, 68 %, 48 %, 9381 MiB, 85
2026/03/27 18:26:29.115, 82 %, 58 %, 9381 MiB, 85
2026/03/27 18:26:34.116, 100 %, 73 %, 9381 MiB, 85
2026/03/27 18:26:39.117, 98 %, 72 %, 9381 MiB, 85
2026/03/27 18:26:44.285, 94 %, 70 %, 9381 MiB, 85
2026/03/27 18:26:49.286, 66 %, 47 %, 9381 MiB, 85
2026/03/27 18:26:54.287, 97 %, 68 %, 9381 MiB, 84
2026/03/27 18:26:59.288, 97 %, 75 %, 9381 MiB, 84
2026/03/27 18:27:04.288, 72 %, 44 %, 9381 MiB, 85
2026/03/27 18:27:09.289, 95 %, 70 %, 9381 MiB, 85
2026/03/27 18:27:14.290, 72 %, 45 %, 9381 MiB, 85
2026/03/27 18:27:19.291, 69 %, 50 %, 9381 MiB, 85
2026/03/27 18:27:24.292, 96 %, 68 %, 9381 MiB, 84
2026/03/27 18:27:29.293, 70 %, 44 %, 9381 MiB, 85
2026/03/27 18:27:34.293, 96 %, 75 %, 9381 MiB, 85
2026/03/27 18:27:39.294, 100 %, 74 %, 9381 MiB, 85
2026/03/27 18:27:44.295, 82 %, 58 %, 9381 MiB, 85
2026/03/27 18:27:49.296, 100 %, 73 %, 9381 MiB, 85
2026/03/27 18:27:54.297, 71 %, 51 %, 9381 MiB, 85
2026/03/27 18:27:59.297, 97 %, 69 %, 9381 MiB, 85
2026/03/27 18:28:04.298, 72 %, 47 %, 9381 MiB, 85
2026/03/27 18:28:09.299, 96 %, 75 %, 9381 MiB, 85
2026/03/27 18:28:14.300, 70 %, 44 %, 9381 MiB, 85
2026/03/27 18:28:19.333, 81 %, 54 %, 9381 MiB, 85
2026/03/27 18:28:24.333, 97 %, 68 %, 9381 MiB, 84
2026/03/27 18:28:29.334, 72 %, 44 %, 9381 MiB, 85
2026/03/27 18:28:34.335, 73 %, 49 %, 9381 MiB, 85
2026/03/27 18:28:39.336, 97 %, 73 %, 9381 MiB, 85
2026/03/27 18:28:44.336, 97 %, 71 %, 9381 MiB, 85
2026/03/27 18:28:49.337, 70 %, 44 %, 9381 MiB, 85
2026/03/27 18:28:54.338, 79 %, 54 %, 9381 MiB, 85
2026/03/27 18:28:59.339, 97 %, 70 %, 9381 MiB, 85
2026/03/27 18:29:04.340, 65 %, 43 %, 9381 MiB, 85
2026/03/27 18:29:09.340, 67 %, 43 %, 9381 MiB, 84
2026/03/27 18:29:14.341, 97 %, 76 %, 9381 MiB, 85
2026/03/27 18:29:19.342, 91 %, 63 %, 9381 MiB, 85
2026/03/27 18:29:24.343, 97 %, 67 %, 9381 MiB, 85
2026/03/27 18:29:29.343, 93 %, 68 %, 9381 MiB, 85
2026/03/27 18:29:34.344, 71 %, 44 %, 9381 MiB, 85
