timestamp,gpu_index,power_draw_W
1629220138.424,0,25.18
1629220138.429,1,24.94
1629220138.54,0,25.3
1629220138.549,1,24.89
1629220138.661,0,25.26
1629220138.67,1,24.96
1629220138.781,0,25.78
1629220138.784,1,24.84
1629220138.887,0,25.33
1629220138.89,1,25.06
1629220138.994,0,25.26
1629220139.001,1,24.86
1629220139.103,0,25.25
1629220139.107,1,25.06
1629220139.215,0,25.39
1629220139.221,1,25.21
1629220139.324,0,25.24
1629220139.327,1,24.96
1629220139.436,0,25.36
1629220139.441,1,24.86
1629220139.545,0,25.25
1629220139.548,1,24.85
1629220139.658,0,25.25
1629220139.661,1,24.94
1629220139.764,0,25.23
1629220139.767,1,25.04
1629220139.879,0,25.33
1629220139.883,1,25.04
1629220139.986,0,25.18
1629220139.989,1,25.07
1629220140.102,0,25.33
1629220140.105,1,25.04
1629220140.208,0,25.25
1629220140.211,1,25.03
1629220140.323,0,25.24
1629220140.326,1,24.94
1629220140.429,0,25.35
1629220140.432,1,24.87
1629220140.545,0,25.29
1629220140.548,1,25.02
1629220140.651,0,25.21
1629220140.654,1,24.93
1629220140.766,0,25.25
1629220140.769,1,24.86
1629220140.873,0,25.3
1629220140.884,1,24.92
1629220140.989,0,25.24
1629220140.992,1,25.03
1629220141.095,0,25.18
1629220141.105,1,25.09
1629220141.211,0,25.07
1629220141.214,1,24.86
1629220141.317,0,25.31
1629220141.326,1,25.21
1629220141.431,0,25.26
1629220141.434,1,25.08
1629220141.537,0,25.28
1629220141.545,1,24.96
1629220141.653,0,25.14
1629220141.656,1,24.94
1629220141.759,0,25.02
1629220141.766,1,24.99
1629220141.875,0,25.25
1629220141.886,1,24.87
1629220141.996,0,25.12
1629220142.006,1,24.83
1629220142.117,0,25.11
1629220142.126,1,24.98
1629220142.238,0,25.14
1629220142.247,1,25.12
1629220142.358,0,25.16
1629220142.367,1,24.96
1629220142.479,0,25.34
1629220142.489,1,25.07
1629220142.601,0,25.27
1629220142.608,1,24.94
1629220142.722,0,25.22
1629220142.728,1,24.92
1629220142.831,0,25.32
1629220142.834,1,24.85
1629220142.944,0,25.27
1629220142.949,1,24.97
1629220143.053,0,25.31
1629220143.056,1,24.96
1629220143.165,0,25.27
1629220143.17,1,24.98
1629220143.274,0,25.3
1629220143.277,1,24.98
1629220143.387,0,25.23
1629220143.391,1,24.94
1629220143.494,0,25.23
1629220143.497,1,25.04
1629220143.608,0,25.19
1629220143.611,1,24.89
1629220143.715,0,25.28
1629220143.718,1,24.95
1629220143.832,0,25.23
1629220143.835,1,24.75
1629220143.938,0,25.2
1629220143.941,1,24.93
1629220144.053,0,25.27
1629220144.056,1,24.98
1629220144.159,0,25.3
1629220144.162,1,25.03
1629220144.274,0,25.17
1629220144.277,1,24.87
1629220144.38,0,25.05
1629220144.383,1,24.83
1629220144.496,0,25.13
1629220144.499,1,24.93
1629220144.602,0,25.22
1629220144.605,1,25.0
1629220144.717,0,25.16
1629220144.72,1,24.96
1629220144.823,0,25.25
1629220144.834,1,24.96
1629220144.94,0,25.43
1629220144.943,1,24.93
1629220145.046,0,25.26
1629220145.054,1,24.96
1629220145.16,0,25.21
1629220145.163,1,24.83
1629220145.266,0,25.25
1629220145.275,1,24.88
1629220145.381,0,25.17
1629220145.384,1,24.97
1629220145.487,0,25.24
1629220145.496,1,24.85
1629220145.601,0,25.12
1629220145.604,1,24.83
1629220145.707,0,25.15
1629220145.716,1,24.96
1629220145.822,0,25.17
1629220145.825,1,24.86
1629220145.928,0,25.23
1629220145.937,1,25.04
1629220146.042,0,25.32
1629220146.045,1,25.03
1629220146.148,0,25.17
1629220146.157,1,24.96
1629220146.263,0,25.24
1629220146.266,1,24.95
1629220146.369,0,25.26
1629220146.379,1,24.78
1629220146.483,0,25.16
1629220146.486,1,24.76
1629220146.589,0,25.44
1629220146.601,1,24.85
1629220146.705,0,25.35
1629220146.708,1,24.76
1629220146.811,0,25.29
1629220146.821,1,24.8
1629220146.924,0,25.17
1629220146.928,1,24.98
1629220147.031,0,25.33
1629220147.041,1,24.84
1629220147.145,0,25.26
1629220147.148,1,24.87
1629220147.251,0,25.25
1629220147.254,1,24.9
1629220147.365,0,25.14
1629220147.368,1,25.06
1629220147.471,0,25.18
1629220147.474,1,24.97
1629220147.585,0,25.11
1629220147.588,1,25.01
1629220147.691,0,25.25
1629220147.694,1,24.93
1629220147.806,0,25.28
1629220147.809,1,24.97
1629220147.913,0,25.17
1629220147.916,1,24.96
1629220148.027,0,25.22
1629220148.03,1,24.93
1629220148.133,0,25.32
1629220148.136,1,24.85
1629220148.247,0,25.17
1629220148.25,1,24.97
1629220148.353,0,25.22
1629220148.356,1,24.86
1629220148.467,0,25.15
1629220148.47,1,24.96
1629220148.573,0,24.96
1629220148.577,1,24.96
1629220148.688,0,25.36
1629220148.691,1,24.77
1629220148.794,0,25.22
1629220148.797,1,25.14
1629220148.908,0,25.28
1629220148.911,1,24.9
1629220149.014,0,25.15
1629220149.017,1,24.9
1629220149.129,0,25.25
1629220149.132,1,24.86
1629220149.235,0,25.24
1629220149.238,1,24.86
1629220149.35,0,25.13
1629220149.353,1,24.83
1629220149.456,0,25.14
1629220149.459,1,25.08
1629220149.57,0,25.09
1629220149.573,1,24.79
1629220149.676,0,25.24
1629220149.679,1,24.91
1629220149.79,0,25.07
1629220149.793,1,24.86
1629220149.896,0,25.27
1629220149.899,1,24.86
1629220150.011,0,25.16
1629220150.015,1,24.86
1629220150.118,0,25.15
1629220150.121,1,24.84
1629220150.232,0,25.2
1629220150.235,1,25.0
1629220150.339,0,25.16
1629220150.342,1,24.87
1629220150.452,0,25.31
1629220150.456,1,24.91
1629220150.56,0,25.27
1629220150.563,1,24.88
1629220150.673,0,25.06
1629220150.676,1,24.76
1629220150.779,0,25.13
1629220150.782,1,24.95
1629220150.893,0,25.12
1629220150.897,1,25.02
1629220151.0,0,25.28
1629220151.003,1,24.85
1629220151.114,0,25.17
1629220151.119,1,24.98
1629220151.222,0,25.15
1629220151.225,1,25.05
1629220151.334,0,25.06
1629220151.339,1,24.66
1629220151.443,0,25.12
1629220151.446,1,25.12
1629220151.555,0,25.17
1629220151.56,1,24.76
1629220151.663,0,25.29
1629220151.666,1,24.98
1629220151.776,0,25.25
1629220151.782,1,24.86
1629220151.885,0,25.15
1629220151.888,1,24.96
1629220151.997,0,25.25
1629220152.002,1,24.86
1629220152.105,0,25.17
1629220152.108,1,24.99
1629220152.217,0,25.27
1629220152.223,1,24.68
1629220152.326,0,25.24
1629220152.329,1,24.84
1629220152.437,0,25.26
1629220152.443,1,24.77
1629220152.547,0,25.18
1629220152.55,1,24.83
