Epoch,Train_Loss_Total,Train_Loss_Data,Train_Loss_Phys,Val_Loss_Total,Val_Loss_Data,Val_Loss_Phys,Lambda_Data,Lambda_Phys,C0,C1,h0,h1,k01,k10,q0,q1,T_amb
1,0.008079582875741727,0.004055695912726253,0.004023884647435847,0.004295955558546142,0.0021456699280230545,0.0021502859470503115,1.0000685714745206,0.9999314285254827,134.48501586914062,129.4938507080078,5.223776817321777,5.784355163574219,0.07527973502874374,0.02741064876317978,34.93144607543945,34.88247299194336,30.363285064697266
2,0.00343472672687271,0.0017319753201642367,0.0017027492473871305,0.003560245748872899,0.0017818150312137084,0.0017784304845122941,1.0000688857078353,0.9999311142921637,130.70399475097656,127.06947326660156,5.318691730499268,5.884000301361084,0.07371483743190765,0.026893815025687218,34.86408996582031,34.81748962402344,30.275020599365234
3,0.002539006686014317,0.0012833873681796343,0.001255618140476887,0.004609880172646905,0.002310243785452635,0.0022996365427052578,0.999985339170674,1.000014660829325,129.5181427001953,126.50823211669922,5.345030784606934,5.911747455596924,0.07276333123445511,0.026519926264882088,34.785186767578125,34.73575973510742,30.168394088745117
4,0.0020290336837908286,0.001028002342930802,0.0010010297723868373,0.0034299523327008885,0.0017294701416565637,0.0017004806016860726,1.0000548252319852,0.9999451747680159,129.15357971191406,126.34687042236328,5.353109359741211,5.920339107513428,0.07212469726800919,0.02625669352710247,34.695796966552734,34.64174270629883,30.04755401611328
