filename,C_0,tau_0,R_th_0,T_amp_0,C_1,tau_1,R_th_1,T_amp_1
1017744163465-r1682297-n976057_cleaned.parquet,,,,,132.440815075638,28.043908516648198,0.21174672249360668,17.821082705609914
10070252594050-r6272977-n851693_cleaned.parquet,,,,,245.42730076888893,25.291735951783757,0.10305184416138032,9.03915473735303
10246129714425-r3226521-n685852_cleaned.parquet,,,,,122.50268503633416,23.04332733411158,0.18810467156109237,15.131259420649776
10325724749052-r4179716-n851693_cleaned.parquet,,,,,535.0666763104846,29.739289100397492,0.05558052933788123,3.0000000000000004
1025423152861-r2652301-n911952_cleaned.parquet,198.27759741539666,54.45264076106113,0.2746283063284323,31.63878302998527,216.44946509681407,57.75203259511046,0.2668153167728041,28.028766091045384
10770785896887-r1457839-n386398_cleaned.parquet,,,,,146.0315277546487,29.431072526444172,0.201539167459044,19.42439675972731
10121788751509-r7343737-n386398_cleaned.parquet,62.34953865528559,6.3649218576698985,0.10208450607565676,3.6816624304502144,89.5496036894246,9.972079723967578,0.11135816701716163,4.858903011331407
11611555786655-r8579942-n139058_cleaned.parquet,,,,,154.01884418435677,28.94892945120573,0.1879570620368672,17.384812608177143
1173416277102-r8937440-n830961_cleaned.parquet,173.53524503294665,34.71588203857502,0.20005090050717944,34.93406669895242,157.40651293317998,31.31288200990276,0.19893002790294495,36.59404297171727
11258330183406-r1485405-n386398_cleaned.parquet,,,,,82.53536760300018,8.74797529626361,0.10599062620453657,7.916813950047373
11804676406038-r5189505-n43543_cleaned.parquet,150.05641590837067,11.916600863830931,0.0794141376207972,10.966866190823252,139.21894985761176,11.403140779645954,0.08190796433465908,12.227322921266216
11804676406038-r9189566-n830961_cleaned.parquet,210.39958757320787,15.616625939919764,0.07422365281246575,10.430740020977579,119.48980903958845,10.085018038266723,0.08440065407523943,12.272082652529512
11535695379405-r3041626-n976057_cleaned.parquet,81.72354490133063,10.803174132250417,0.13219169757373703,12.365413170420961,,,,
11860214159495-r1485405-n851693_cleaned.parquet,674.607220049068,70.27198833956088,0.10416726392944563,8.364533630596203,675.7908449652317,121.29177373333563,0.17948123245081232,15.33163692069455
11860214159495-r4858666-n851693_cleaned.parquet,484.9097679189464,79.34407941050846,0.16362648199689592,12.387433916204996,431.6575702358906,58.3122398300864,0.13508911658428727,9.653993477944868
11860214159495-r3741709-n851693_cleaned.parquet,389.6576676296244,44.04385023299202,0.11303216615990315,9.4482296232457,438.8680839286748,57.11373259426253,0.13013872433600046,8.471696030763912
11860214159495-r629115-n851693_cleaned.parquet,498.56800578848,57.47098262477163,0.11527210321866098,9.078643049112051,452.8729277658948,56.85817232795462,0.12554994755029056,9.976926418506144
11860214159495-r7217787-n851693_cleaned.parquet,243.9778292563864,23.405789342824516,0.09593408308518198,6.648649596311138,266.2298364286673,35.117166918790794,0.13190545203298418,9.20509956378959
11860214159495-r8333645-n851693_cleaned.parquet,594.5038368540083,76.49022727175903,0.12866229371458648,10.684334167253848,565.4347956441709,77.20767421249955,0.13654567212217777,11.37696635588301
11860214159495-r9352821-n851693_cleaned.parquet,584.9281062759651,64.39870846299206,0.11009679270328854,8.134242145423034,445.1711241849312,57.48968147967366,0.12914063459289316,10.818399314491886
10855321952286-r8642123-n976057_cleaned.parquet,200.67467379562376,33.54071632365862,0.1671397575451799,22.675354044794318,164.75102885882566,26.319920445362534,0.1597557273400456,22.128292913111533
11983189675432-r8607415-n386398_cleaned.parquet,,,,,133.60054667015868,66.3406879916561,0.4965600040203586,3.0000000000000004
11860214159495-r9535192-n911952_cleaned.parquet,401.38783923399996,41.7800145113806,0.1040888896661959,7.6847942190414695,276.58394881513055,37.6084327832552,0.13597474815283941,9.542026651887218
12080819838745-r9192091-n976057_cleaned.parquet,,,,,162.9539601823589,30.38349991680333,0.18645450459014123,17.388695540204793
12140025358381-r9189566-n43543_cleaned.parquet,,,,,175.17378183745032,12.33144041350359,0.07039546834095499,6.691165050737768
