timestamp,gpu_index,power_draw_W
1621140200.736,0,50.79
1621140200.739,1,54.11
1621140200.842,0,50.78
1621140200.845,1,53.98
1621140200.949,0,50.72
1621140200.952,1,54.03
1621140201.055,0,50.72
1621140201.06,1,54.13
1621140201.163,0,50.63
1621140201.166,1,54.03
1621140201.27,0,50.63
1621140201.272,1,53.95
1621140201.375,0,50.63
1621140201.381,1,53.93
1621140201.484,0,50.63
1621140201.487,1,53.93
1621140201.591,0,50.53
1621140201.594,1,53.93
1621140201.696,0,50.53
1621140201.702,1,53.93
1621140201.805,0,50.53
1621140201.808,1,53.95
1621140201.912,0,50.63
1621140201.915,1,53.95
1621140202.018,0,50.53
1621140202.021,1,53.93
1621140202.123,0,50.53
1621140202.126,1,53.93
1621140202.232,0,50.53
1621140202.235,1,53.95
1621140202.338,0,50.53
1621140202.341,1,53.95
1621140202.444,0,50.53
1621140202.447,1,53.85
1621140202.549,0,50.53
1621140202.553,1,53.85
1621140202.656,0,50.44
1621140202.659,1,53.85
1621140202.762,0,50.44
1621140202.765,1,53.85
1621140202.868,0,50.43
1621140202.871,1,53.85
1621140202.974,0,50.44
1621140202.981,1,53.76
1621140203.084,0,50.54
1621140203.087,1,53.76
1621140203.19,0,50.44
1621140203.193,1,53.76
1621140203.296,0,50.44
1621140203.299,1,53.76
1621140203.402,0,50.44
1621140203.406,1,53.66
1621140203.509,0,50.44
1621140203.512,1,53.66
1621140203.615,0,50.43
1621140203.618,1,53.76
1621140203.721,0,50.44
1621140203.724,1,53.66
1621140203.827,0,50.44
1621140203.832,1,53.66
1621140203.936,0,50.35
1621140203.939,1,53.56
1621140204.042,0,50.43
1621140204.045,1,53.56
1621140204.148,0,50.43
1621140204.151,1,53.55
1621140204.257,0,50.43
1621140204.259,1,53.64
1621140204.362,0,50.43
1621140204.365,1,53.55
1621140204.468,0,50.43
1621140204.471,1,53.55
1621140204.574,0,50.34
1621140204.577,1,53.55
1621140204.68,0,50.34
1621140204.684,1,53.55
1621140204.787,0,50.34
1621140204.79,1,53.56
1621140204.892,0,50.34
1621140204.895,1,53.56
1621140204.998,0,50.24
1621140205.001,1,53.55
1621140205.104,0,50.24
1621140205.113,1,53.55
1621140205.219,0,50.24
1621140205.221,1,53.47
1621140205.324,0,50.24
1621140205.327,1,53.47
1621140205.43,0,50.24
1621140205.433,1,53.45
1621140205.539,0,50.24
1621140205.542,1,53.47
1621140205.645,0,50.24
1621140205.648,1,53.47
1621140205.751,0,50.14
1621140205.754,1,53.47
1621140205.857,0,50.24
1621140205.859,1,53.47
1621140205.962,0,50.22
1621140205.966,1,53.43
1621140206.073,0,49.85
1621140206.076,1,52.67
1621140206.179,0,49.54
1621140206.182,1,53.25
1621140206.285,0,49.56
1621140206.298,1,53.45
1621140206.404,0,49.52
1621140206.407,1,53.31
1621140206.51,0,49.51
1621140206.513,1,53.4
1621140206.616,0,49.53
1621140206.618,1,52.63
1621140206.721,0,49.53
1621140206.724,1,52.63
1621140206.828,0,49.51
1621140206.831,1,53.31
1621140206.934,0,49.41
1621140206.937,1,53.21
1621140207.04,0,49.42
1621140207.042,1,53.31
1621140207.145,0,49.3
1621140207.154,1,53.21
1621140207.257,0,49.43
1621140207.26,1,53.32
1621140207.362,0,49.42
1621140207.365,1,53.21
1621140207.469,0,49.4
1621140207.473,1,53.21
1621140207.575,0,49.46
1621140207.579,1,53.16
1621140207.682,0,49.38
1621140207.685,1,53.17
1621140207.79,0,49.4
1621140207.793,1,53.1
1621140207.896,0,49.38
1621140207.899,1,53.18
1621140208.002,0,49.38
1621140208.007,1,53.1
1621140208.111,0,49.3
1621140208.114,1,53.1
1621140208.216,0,49.28
1621140208.219,1,53.09
1621140208.322,0,49.28
1621140208.325,1,53.16
1621140208.431,0,49.32
1621140208.434,1,53.11
1621140208.537,0,49.3
1621140208.541,1,53.02
1621140208.645,0,49.29
1621140208.662,1,53.12
1621140208.8,0,49.4
1621140208.804,1,52.98
1621140208.907,0,49.4
1621140208.91,1,52.98
1621140209.013,0,49.17
1621140209.016,1,53.27
1621140209.119,0,49.27
1621140209.122,1,52.98
1621140209.225,0,49.27
1621140209.227,1,53.17
1621140209.333,0,49.14
1621140209.336,1,52.93
1621140209.439,0,49.24
1621140209.442,1,53.03
1621140209.544,0,49.82
1621140209.547,1,53.03
1621140209.65,0,49.14
1621140209.653,1,52.91
1621140209.756,0,49.24
1621140209.759,1,53.03
1621140209.862,0,49.82
1621140209.867,1,53.43
1621140209.97,0,49.24
1621140209.973,1,52.94
1621140210.076,0,49.45
1621140210.078,1,53.33
1621140210.181,0,49.27
1621140210.184,1,52.96
1621140210.287,0,49.27
1621140210.29,1,52.98
1621140210.395,0,49.16
1621140210.399,1,52.85
1621140210.502,0,49.16
1621140210.505,1,52.85
1621140210.608,0,49.21
1621140210.611,1,52.98
1621140210.716,0,49.37
1621140210.719,1,53.04
1621140210.822,0,49.45
1621140210.826,1,53.04
1621140210.929,0,49.27
1621140210.932,1,52.85
1621140211.037,0,49.27
1621140211.04,1,52.98
1621140211.144,0,49.08
1621140211.147,1,52.94
1621140211.25,0,49.08
1621140211.254,1,52.85
1621140211.358,0,49.08
