timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/03/24 10:42:40.243, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:42:40.243, 78 %, 24 %, 1597 MiB, 84
2026/03/24 10:42:45.243, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:42:45.243, 90 %, 43 %, 1597 MiB, 84
2026/03/24 10:42:50.244, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:42:50.244, 82 %, 23 %, 1597 MiB, 84
2026/03/24 10:42:55.245, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:42:55.245, 86 %, 23 %, 1597 MiB, 84
2026/03/24 10:43:00.246, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:43:00.246, 84 %, 33 %, 1597 MiB, 84
2026/03/24 10:43:05.246, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:43:05.247, 76 %, 32 %, 1597 MiB, 84
2026/03/24 10:43:10.247, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:43:10.248, 85 %, 34 %, 1597 MiB, 84
2026/03/24 10:43:15.248, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:43:15.248, 87 %, 42 %, 1597 MiB, 84
2026/03/24 10:43:20.249, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:43:20.249, 89 %, 24 %, 1597 MiB, 84
2026/03/24 10:43:25.250, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:43:25.250, 78 %, 23 %, 1597 MiB, 84
2026/03/24 10:43:30.251, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:43:30.251, 77 %, 26 %, 1597 MiB, 84
2026/03/24 10:43:35.252, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:43:35.252, 93 %, 28 %, 1597 MiB, 84
2026/03/24 10:43:40.253, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:43:40.253, 79 %, 34 %, 1597 MiB, 84
2026/03/24 10:43:45.254, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:43:45.254, 93 %, 42 %, 1597 MiB, 84
2026/03/24 10:43:50.254, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:43:50.255, 85 %, 40 %, 1597 MiB, 84
2026/03/24 10:43:55.255, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:43:55.255, 93 %, 30 %, 1597 MiB, 85
2026/03/24 10:44:00.256, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:44:00.256, 90 %, 43 %, 1597 MiB, 84
2026/03/24 10:44:05.257, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:44:05.257, 86 %, 40 %, 1597 MiB, 84
2026/03/24 10:44:10.258, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:44:10.259, 63 %, 23 %, 1597 MiB, 84
2026/03/24 10:44:15.259, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:44:15.260, 60 %, 23 %, 1597 MiB, 84
2026/03/24 10:44:20.261, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:44:20.261, 93 %, 41 %, 1597 MiB, 84
2026/03/24 10:44:25.262, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:44:25.262, 85 %, 24 %, 1597 MiB, 84
2026/03/24 10:44:30.263, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:44:30.263, 82 %, 38 %, 1597 MiB, 84
2026/03/24 10:44:35.264, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:44:35.264, 91 %, 42 %, 1597 MiB, 84
2026/03/24 10:44:40.264, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:44:40.265, 83 %, 28 %, 1597 MiB, 84
2026/03/24 10:44:45.265, 0 %, 0 %, 9273 MiB, 43
2026/03/24 10:44:45.265, 83 %, 40 %, 1597 MiB, 85
2026/03/24 10:44:50.266, 0 %, 0 %, 9273 MiB, 45
2026/03/24 10:44:50.266, 64 %, 23 %, 1597 MiB, 84
2026/03/24 10:44:55.267, 0 %, 0 %, 9273 MiB, 46
2026/03/24 10:44:55.267, 84 %, 36 %, 1597 MiB, 84
2026/03/24 10:45:00.268, 0 %, 0 %, 9273 MiB, 47
2026/03/24 10:45:00.268, 90 %, 24 %, 1597 MiB, 84
2026/03/24 10:45:05.269, 0 %, 0 %, 9273 MiB, 44
2026/03/24 10:45:05.269, 87 %, 39 %, 1597 MiB, 84
2026/03/24 10:45:10.270, 0 %, 0 %, 9273 MiB, 44
2026/03/24 10:45:10.270, 92 %, 36 %, 1597 MiB, 84
2026/03/24 10:45:15.270, 0 %, 0 %, 9273 MiB, 44
2026/03/24 10:45:15.270, 92 %, 28 %, 1597 MiB, 84
2026/03/24 10:45:20.271, 0 %, 0 %, 9273 MiB, 43
2026/03/24 10:45:20.272, 92 %, 28 %, 1597 MiB, 84
2026/03/24 10:45:25.273, 0 %, 0 %, 9273 MiB, 43
2026/03/24 10:45:25.273, 92 %, 24 %, 1597 MiB, 84
2026/03/24 10:45:30.274, 0 %, 0 %, 9273 MiB, 43
2026/03/24 10:45:30.274, 83 %, 30 %, 1597 MiB, 85
2026/03/24 10:45:35.275, 0 %, 0 %, 9273 MiB, 43
2026/03/24 10:45:35.276, 84 %, 41 %, 1597 MiB, 85
2026/03/24 10:45:40.276, 0 %, 0 %, 9273 MiB, 43
2026/03/24 10:45:40.277, 93 %, 43 %, 1597 MiB, 84
2026/03/24 10:45:45.277, 0 %, 0 %, 9273 MiB, 43
2026/03/24 10:45:45.277, 76 %, 25 %, 1597 MiB, 85
2026/03/24 10:45:50.278, 0 %, 0 %, 9273 MiB, 43
2026/03/24 10:45:50.278, 92 %, 42 %, 1597 MiB, 84
2026/03/24 10:45:55.279, 0 %, 0 %, 9273 MiB, 43
2026/03/24 10:45:55.279, 82 %, 24 %, 1597 MiB, 84
2026/03/24 10:46:00.280, 0 %, 0 %, 9273 MiB, 43
2026/03/24 10:46:00.280, 93 %, 44 %, 1597 MiB, 84
2026/03/24 10:46:05.281, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:46:05.281, 89 %, 24 %, 1597 MiB, 84
2026/03/24 10:46:10.282, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:46:10.282, 89 %, 24 %, 1597 MiB, 84
2026/03/24 10:46:15.283, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:46:15.283, 77 %, 32 %, 1597 MiB, 84
2026/03/24 10:46:20.284, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:46:20.284, 80 %, 31 %, 1597 MiB, 84
2026/03/24 10:46:25.285, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:46:25.285, 84 %, 24 %, 1597 MiB, 84
2026/03/24 10:46:30.286, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:46:30.286, 93 %, 42 %, 1597 MiB, 84
2026/03/24 10:46:35.287, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:46:35.287, 85 %, 29 %, 1597 MiB, 85
2026/03/24 10:46:40.288, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:46:40.288, 74 %, 30 %, 1597 MiB, 84
2026/03/24 10:46:45.289, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:46:45.289, 85 %, 26 %, 1597 MiB, 85
2026/03/24 10:46:50.289, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:46:50.289, 84 %, 24 %, 1597 MiB, 84
2026/03/24 10:46:55.290, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:46:55.290, 93 %, 27 %, 1597 MiB, 84
2026/03/24 10:47:00.291, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:47:00.291, 76 %, 23 %, 1597 MiB, 84
2026/03/24 10:47:05.292, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:47:05.292, 82 %, 23 %, 1597 MiB, 84
2026/03/24 10:47:10.293, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:47:10.293, 73 %, 24 %, 1597 MiB, 84
2026/03/24 10:47:15.294, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:47:15.294, 92 %, 42 %, 1597 MiB, 84
2026/03/24 10:47:20.295, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:47:20.295, 92 %, 40 %, 1597 MiB, 84
2026/03/24 10:47:25.295, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:47:25.296, 78 %, 37 %, 1597 MiB, 84
2026/03/24 10:47:30.296, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:47:30.296, 88 %, 43 %, 1597 MiB, 84
2026/03/24 10:47:35.297, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:47:35.297, 83 %, 34 %, 1597 MiB, 84
2026/03/24 10:47:40.298, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:47:40.298, 91 %, 33 %, 1597 MiB, 84
2026/03/24 10:47:45.299, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:47:45.299, 76 %, 24 %, 1597 MiB, 84
2026/03/24 10:47:50.300, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:47:50.300, 85 %, 32 %, 1597 MiB, 84
2026/03/24 10:47:55.300, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:47:55.301, 72 %, 26 %, 1597 MiB, 84
2026/03/24 10:48:00.301, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:48:00.301, 83 %, 23 %, 1597 MiB, 84
2026/03/24 10:48:05.302, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:48:05.302, 84 %, 39 %, 1597 MiB, 84
2026/03/24 10:48:10.303, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:48:10.303, 83 %, 39 %, 1597 MiB, 84
2026/03/24 10:48:15.304, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:48:15.304, 81 %, 23 %, 1597 MiB, 84
2026/03/24 10:48:20.304, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:48:20.305, 87 %, 42 %, 1597 MiB, 84
2026/03/24 10:48:25.305, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:48:25.305, 88 %, 24 %, 1597 MiB, 84
2026/03/24 10:48:30.306, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:48:30.306, 92 %, 28 %, 1597 MiB, 84
2026/03/24 10:48:35.307, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:48:35.307, 78 %, 37 %, 1597 MiB, 84
