timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/03/24 10:00:45.006, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:00:45.008, 13 %, 8 %, 1597 MiB, 83
2026/03/24 10:00:50.010, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:00:50.011, 90 %, 42 %, 1597 MiB, 84
2026/03/24 10:00:55.011, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:00:55.011, 79 %, 31 %, 1597 MiB, 84
2026/03/24 10:01:00.012, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:01:00.012, 90 %, 43 %, 1597 MiB, 84
2026/03/24 10:01:05.013, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:01:05.013, 89 %, 26 %, 1597 MiB, 84
2026/03/24 10:01:10.014, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:01:10.014, 78 %, 23 %, 1597 MiB, 84
2026/03/24 10:01:15.015, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:01:15.015, 90 %, 38 %, 1597 MiB, 84
2026/03/24 10:01:20.016, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:01:20.016, 89 %, 26 %, 1597 MiB, 83
2026/03/24 10:01:25.016, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:01:25.017, 87 %, 42 %, 1597 MiB, 84
2026/03/24 10:01:30.017, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:01:30.018, 84 %, 39 %, 1597 MiB, 84
2026/03/24 10:01:35.018, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:01:35.018, 77 %, 34 %, 1597 MiB, 83
2026/03/24 10:01:40.019, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:01:40.019, 80 %, 34 %, 1597 MiB, 84
2026/03/24 10:01:45.020, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:01:45.020, 81 %, 24 %, 1597 MiB, 84
2026/03/24 10:01:50.021, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:01:50.021, 90 %, 36 %, 1597 MiB, 84
2026/03/24 10:01:55.022, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:01:55.022, 82 %, 38 %, 1597 MiB, 84
2026/03/24 10:02:00.023, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:02:00.023, 83 %, 23 %, 1597 MiB, 84
2026/03/24 10:02:05.023, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:02:05.023, 90 %, 24 %, 1597 MiB, 84
2026/03/24 10:02:10.024, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:02:10.024, 89 %, 38 %, 1597 MiB, 84
2026/03/24 10:02:15.025, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:02:15.025, 89 %, 43 %, 1597 MiB, 85
2026/03/24 10:02:20.025, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:02:20.025, 68 %, 26 %, 1597 MiB, 84
2026/03/24 10:02:25.026, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:02:25.026, 85 %, 23 %, 1597 MiB, 84
2026/03/24 10:02:30.027, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:02:30.027, 80 %, 25 %, 1597 MiB, 84
2026/03/24 10:02:35.028, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:02:35.028, 68 %, 26 %, 1597 MiB, 85
2026/03/24 10:02:40.028, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:02:40.029, 79 %, 30 %, 1597 MiB, 84
2026/03/24 10:02:45.029, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:02:45.029, 81 %, 26 %, 1597 MiB, 85
2026/03/24 10:02:50.030, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:02:50.030, 86 %, 23 %, 1597 MiB, 84
2026/03/24 10:02:55.031, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:02:55.031, 82 %, 38 %, 1597 MiB, 85
2026/03/24 10:03:00.031, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:03:00.031, 69 %, 23 %, 1597 MiB, 84
2026/03/24 10:03:05.032, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:03:05.032, 91 %, 27 %, 1597 MiB, 84
2026/03/24 10:03:10.033, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:03:10.033, 81 %, 26 %, 1597 MiB, 84
2026/03/24 10:03:15.034, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:03:15.034, 91 %, 36 %, 1597 MiB, 84
2026/03/24 10:03:20.035, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:03:20.035, 91 %, 31 %, 1597 MiB, 84
2026/03/24 10:03:25.036, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:03:25.036, 90 %, 32 %, 1597 MiB, 84
2026/03/24 10:03:30.037, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:03:30.037, 88 %, 42 %, 1597 MiB, 84
2026/03/24 10:03:35.037, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:03:35.038, 90 %, 39 %, 1597 MiB, 85
2026/03/24 10:03:40.038, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:03:40.038, 88 %, 27 %, 1597 MiB, 84
2026/03/24 10:03:45.039, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:03:45.039, 63 %, 23 %, 1597 MiB, 83
2026/03/24 10:03:50.040, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:03:50.040, 80 %, 33 %, 1597 MiB, 84
2026/03/24 10:03:55.040, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:03:55.041, 90 %, 30 %, 1597 MiB, 84
2026/03/24 10:04:00.041, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:04:00.041, 81 %, 25 %, 1597 MiB, 84
2026/03/24 10:04:05.042, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:04:05.042, 90 %, 34 %, 1597 MiB, 84
2026/03/24 10:04:10.043, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:04:10.043, 90 %, 37 %, 1597 MiB, 84
2026/03/24 10:04:15.043, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:04:15.043, 78 %, 23 %, 1597 MiB, 84
2026/03/24 10:04:20.044, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:04:20.044, 81 %, 23 %, 1597 MiB, 84
2026/03/24 10:04:25.045, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:04:25.045, 88 %, 43 %, 1597 MiB, 85
2026/03/24 10:04:30.046, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:04:30.046, 90 %, 25 %, 1597 MiB, 84
2026/03/24 10:04:35.046, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:04:35.046, 82 %, 31 %, 1597 MiB, 84
2026/03/24 10:04:40.047, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:04:40.047, 88 %, 43 %, 1597 MiB, 84
2026/03/24 10:04:45.048, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:04:45.048, 84 %, 23 %, 1597 MiB, 84
2026/03/24 10:04:50.049, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:04:50.049, 84 %, 24 %, 1597 MiB, 84
2026/03/24 10:04:55.050, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:04:55.050, 87 %, 23 %, 1597 MiB, 84
2026/03/24 10:05:00.051, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:05:00.051, 89 %, 36 %, 1597 MiB, 84
2026/03/24 10:05:05.052, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:05:05.052, 87 %, 43 %, 1597 MiB, 84
2026/03/24 10:05:10.053, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:05:10.053, 74 %, 29 %, 1597 MiB, 84
2026/03/24 10:05:15.053, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:05:15.054, 83 %, 23 %, 1597 MiB, 84
2026/03/24 10:05:20.054, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:05:20.054, 71 %, 29 %, 1597 MiB, 84
2026/03/24 10:05:25.055, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:05:25.055, 86 %, 23 %, 1597 MiB, 84
2026/03/24 10:05:30.056, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:05:30.056, 89 %, 30 %, 1597 MiB, 84
2026/03/24 10:05:35.056, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:05:35.057, 89 %, 43 %, 1597 MiB, 84
2026/03/24 10:05:40.057, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:05:40.057, 83 %, 38 %, 1597 MiB, 85
2026/03/24 10:05:45.058, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:05:45.058, 91 %, 43 %, 1597 MiB, 84
2026/03/24 10:05:50.059, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:05:50.059, 82 %, 23 %, 1597 MiB, 84
2026/03/24 10:05:55.060, 0 %, 0 %, 7432 MiB, 39
2026/03/24 10:05:55.060, 81 %, 29 %, 1597 MiB, 84
2026/03/24 10:06:00.060, 0 %, 0 %, 7432 MiB, 39
