timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/03/23 19:32:45.576, 92 %, 24 %, 1595 MiB, 85
2026/03/23 19:32:50.576, 89 %, 40 %, 9025 MiB, 79
2026/03/23 19:32:50.576, 68 %, 23 %, 1595 MiB, 85
2026/03/23 19:32:55.577, 81 %, 23 %, 9025 MiB, 79
2026/03/23 19:32:55.577, 81 %, 33 %, 1595 MiB, 86
2026/03/23 19:33:00.578, 90 %, 27 %, 9025 MiB, 80
2026/03/23 19:33:00.578, 84 %, 28 %, 1595 MiB, 87
2026/03/23 19:33:05.579, 82 %, 40 %, 9025 MiB, 79
2026/03/23 19:33:05.579, 88 %, 23 %, 1595 MiB, 86
2026/03/23 19:33:10.579, 80 %, 28 %, 9025 MiB, 79
2026/03/23 19:33:10.580, 92 %, 37 %, 1595 MiB, 86
2026/03/23 19:33:15.580, 90 %, 25 %, 9025 MiB, 81
2026/03/23 19:33:15.580, 83 %, 23 %, 1595 MiB, 86
2026/03/23 19:33:20.581, 79 %, 31 %, 9025 MiB, 80
2026/03/23 19:33:20.581, 74 %, 28 %, 1595 MiB, 86
2026/03/23 19:33:25.582, 85 %, 23 %, 9025 MiB, 80
2026/03/23 19:33:25.582, 91 %, 43 %, 1595 MiB, 86
2026/03/23 19:33:30.582, 89 %, 24 %, 9025 MiB, 80
2026/03/23 19:33:30.583, 86 %, 23 %, 1595 MiB, 86
2026/03/23 19:33:35.583, 78 %, 37 %, 9025 MiB, 81
2026/03/23 19:33:35.583, 82 %, 24 %, 1595 MiB, 86
2026/03/23 19:33:40.584, 81 %, 23 %, 9025 MiB, 81
2026/03/23 19:33:40.584, 74 %, 30 %, 1595 MiB, 86
2026/03/23 19:33:45.585, 90 %, 39 %, 9025 MiB, 81
2026/03/23 19:33:45.585, 93 %, 42 %, 1595 MiB, 86
2026/03/23 19:33:50.586, 84 %, 40 %, 9025 MiB, 81
2026/03/23 19:33:50.586, 85 %, 39 %, 1595 MiB, 86
2026/03/23 19:33:55.587, 80 %, 34 %, 9025 MiB, 81
2026/03/23 19:33:55.587, 92 %, 35 %, 1595 MiB, 87
2026/03/23 19:34:00.587, 82 %, 23 %, 9025 MiB, 81
2026/03/23 19:34:00.588, 81 %, 30 %, 1595 MiB, 86
2026/03/23 19:34:05.588, 90 %, 37 %, 9025 MiB, 81
2026/03/23 19:34:05.588, 87 %, 23 %, 1595 MiB, 86
2026/03/23 19:34:10.589, 90 %, 34 %, 9025 MiB, 82
2026/03/23 19:34:10.589, 84 %, 39 %, 1595 MiB, 86
2026/03/23 19:34:15.590, 89 %, 28 %, 9025 MiB, 81
2026/03/23 19:34:15.590, 83 %, 23 %, 1595 MiB, 86
2026/03/23 19:34:20.590, 79 %, 24 %, 9025 MiB, 82
2026/03/23 19:34:20.591, 87 %, 40 %, 1595 MiB, 85
2026/03/23 19:34:25.591, 86 %, 41 %, 9025 MiB, 82
2026/03/23 19:34:25.591, 78 %, 33 %, 1595 MiB, 86
2026/03/23 19:34:30.592, 83 %, 23 %, 9025 MiB, 82
2026/03/23 19:34:30.592, 93 %, 40 %, 1595 MiB, 86
2026/03/23 19:34:35.593, 78 %, 25 %, 9025 MiB, 82
2026/03/23 19:34:35.593, 90 %, 42 %, 1595 MiB, 86
2026/03/23 19:34:40.595, 80 %, 23 %, 9025 MiB, 82
2026/03/23 19:34:40.595, 80 %, 24 %, 1595 MiB, 85
2026/03/23 19:34:45.596, 80 %, 31 %, 9025 MiB, 83
2026/03/23 19:34:45.596, 85 %, 39 %, 1595 MiB, 85
2026/03/23 19:34:50.597, 90 %, 32 %, 9025 MiB, 82
2026/03/23 19:34:50.598, 92 %, 41 %, 1595 MiB, 86
2026/03/23 19:34:55.598, 89 %, 28 %, 9025 MiB, 82
2026/03/23 19:34:55.598, 88 %, 32 %, 1595 MiB, 86
2026/03/23 19:35:00.600, 86 %, 34 %, 9025 MiB, 82
2026/03/23 19:35:00.600, 84 %, 23 %, 1595 MiB, 86
2026/03/23 19:35:05.601, 82 %, 23 %, 9025 MiB, 82
2026/03/23 19:35:05.601, 83 %, 30 %, 1595 MiB, 86
2026/03/23 19:35:10.609, 86 %, 42 %, 9025 MiB, 83
2026/03/23 19:35:10.609, 75 %, 24 %, 1595 MiB, 87
2026/03/23 19:35:15.610, 84 %, 23 %, 9025 MiB, 82
2026/03/23 19:35:15.610, 85 %, 23 %, 1595 MiB, 86
2026/03/23 19:35:20.610, 79 %, 31 %, 9025 MiB, 83
2026/03/23 19:35:20.611, 92 %, 43 %, 1595 MiB, 86
2026/03/23 19:35:25.611, 79 %, 24 %, 9025 MiB, 82
2026/03/23 19:35:25.611, 79 %, 29 %, 1595 MiB, 86
2026/03/23 19:35:30.612, 86 %, 23 %, 9025 MiB, 83
2026/03/23 19:35:30.612, 86 %, 23 %, 1595 MiB, 86
2026/03/23 19:35:35.613, 89 %, 42 %, 9025 MiB, 83
2026/03/23 19:35:35.613, 80 %, 23 %, 1595 MiB, 86
2026/03/23 19:35:40.614, 90 %, 40 %, 9025 MiB, 83
2026/03/23 19:35:40.614, 86 %, 28 %, 1595 MiB, 86
2026/03/23 19:35:45.615, 85 %, 40 %, 9025 MiB, 83
2026/03/23 19:35:45.615, 86 %, 23 %, 1595 MiB, 86
2026/03/23 19:35:50.616, 89 %, 43 %, 9025 MiB, 83
2026/03/23 19:35:50.616, 76 %, 24 %, 1595 MiB, 86
2026/03/23 19:35:55.616, 55 %, 22 %, 9025 MiB, 82
2026/03/23 19:35:55.616, 78 %, 23 %, 1595 MiB, 86
2026/03/23 19:36:00.617, 76 %, 24 %, 9025 MiB, 82
2026/03/23 19:36:00.617, 71 %, 25 %, 1595 MiB, 86
2026/03/23 19:36:05.618, 90 %, 40 %, 9025 MiB, 83
2026/03/23 19:36:05.618, 86 %, 24 %, 1595 MiB, 86
2026/03/23 19:36:10.619, 85 %, 23 %, 9025 MiB, 83
2026/03/23 19:36:10.619, 84 %, 23 %, 1595 MiB, 86
2026/03/23 19:36:15.620, 80 %, 38 %, 9025 MiB, 83
2026/03/23 19:36:15.620, 84 %, 24 %, 1595 MiB, 86
2026/03/23 19:36:20.620, 90 %, 40 %, 9025 MiB, 83
2026/03/23 19:36:20.621, 84 %, 32 %, 1595 MiB, 86
2026/03/23 19:36:25.621, 78 %, 34 %, 9025 MiB, 83
2026/03/23 19:36:25.621, 92 %, 28 %, 1595 MiB, 86
2026/03/23 19:36:30.622, 84 %, 23 %, 9025 MiB, 83
2026/03/23 19:36:30.622, 88 %, 42 %, 1595 MiB, 87
2026/03/23 19:36:35.623, 89 %, 43 %, 9025 MiB, 83
