epoch,train_rmse,val_rmse,train_mae,val_mae,current_lr,C,h_base_0,h_base_1,h_active_0,h_active_1,T_thresh_0,T_thresh_1,beta_0,beta_1,k01,k10,q0,q1,epoch_time_sec
32,3.858687,3.945733,2.746000,2.949324,0.010000,682.7950,3.7836,4.1180,6.2105,6.9491,70.8566,66.7961,0.4873,0.3971,0.0372,0.0110,-5.4250,-5.8884,342.69
33,3.826898,3.913474,2.718785,2.918546,0.010000,707.4177,3.7794,4.1185,6.3165,7.0216,70.8734,66.8446,0.4960,0.4036,0.0371,0.0110,-5.4641,-5.9287,342.38
34,3.797478,3.884309,2.693618,2.890764,0.010000,729.7676,3.7754,4.1186,6.4208,7.0959,70.8859,66.8859,0.5046,0.4101,0.0370,0.0109,-5.5031,-5.9683,346.93
35,3.771807,3.858005,2.671816,2.865722,0.010000,749.9590,3.7714,4.1184,6.5236,7.1716,70.8940,66.9206,0.5131,0.4166,0.0369,0.0108,-5.5419,-6.0072,342.59
36,3.747781,3.834315,2.651488,2.843175,0.010000,768.1580,3.7677,4.1180,6.6249,7.2486,70.8986,66.9492,0.5215,0.4229,0.0368,0.0108,-5.5805,-6.0456,343.55
37,3.726093,3.812919,2.633219,2.822775,0.010000,784.5352,3.7640,4.1175,6.7241,7.3260,70.9007,66.9726,0.5298,0.4292,0.0367,0.0107,-5.6189,-6.0834,342.82
38,3.707389,3.793613,2.617227,2.804371,0.010000,799.2648,3.7606,4.1168,6.8217,7.4041,70.9001,66.9910,0.5381,0.4355,0.0366,0.0107,-5.6571,-6.1208,343.61
39,3.689480,3.776097,2.602269,2.787834,0.010000,812.5373,3.7572,4.1160,6.9173,7.4818,70.8977,67.0060,0.5463,0.4417,0.0365,0.0106,-5.6951,-6.1577,344.31
40,3.673928,3.760205,2.588938,2.772918,0.010000,824.5034,3.7539,4.1152,7.0114,7.5600,70.8930,67.0166,0.5545,0.4478,0.0364,0.0105,-5.7328,-6.1942,341.92
41,3.659550,3.745745,2.576701,2.759371,0.010000,835.3315,3.7509,4.1143,7.1037,7.6382,70.8868,67.0236,0.5626,0.4540,0.0362,0.0105,-5.7704,-6.2303,342.19
42,3.646944,3.732450,2.565800,2.746937,0.010000,845.1440,3.7479,4.1134,7.1939,7.7153,70.8802,67.0288,0.5706,0.4600,0.0361,0.0104,-5.8077,-6.2661,342.34
43,3.634638,3.720287,2.555474,2.735651,0.010000,854.0634,3.7451,4.1124,7.2824,7.7920,70.8722,67.0313,0.5786,0.4661,0.0360,0.0104,-5.8449,-6.3015,341.89
44,3.624277,3.709043,2.546508,2.725222,0.010000,862.1899,3.7422,4.1114,7.3690,7.8679,70.8637,67.0317,0.5865,0.4721,0.0359,0.0103,-5.8818,-6.3366,342.89
45,3.614093,3.698657,2.537817,2.715601,0.010000,869.6145,3.7396,4.1102,7.4542,7.9432,70.8539,67.0299,0.5944,0.4781,0.0357,0.0102,-5.9185,-6.3714,342.03
46,3.605315,3.689037,2.530141,2.706673,0.010000,876.4146,3.7370,4.1091,7.5378,8.0178,70.8434,67.0262,0.6022,0.4841,0.0356,0.0102,-5.9549,-6.4058,344.73
47,3.596357,3.680031,2.522594,2.698271,0.010000,882.6597,3.7343,4.1079,7.6193,8.0912,70.8336,67.0216,0.6100,0.4900,0.0355,0.0101,-5.9910,-6.4400,344.59
48,3.587888,3.671648,2.515348,2.690452,0.010000,888.4104,3.7318,4.1067,7.6995,8.1639,70.8226,67.0153,0.6178,0.4959,0.0353,0.0100,-6.0270,-6.4738,342.59
49,3.581619,3.663846,2.509630,2.683168,0.010000,893.7126,3.7294,4.1056,7.7785,8.2356,70.8108,67.0078,0.6255,0.5018,0.0352,0.0100,-6.0626,-6.5074,353.59
50,3.573779,3.656453,2.503193,2.676222,0.010000,898.6182,3.7269,4.1043,7.8556,8.3060,70.7995,67.0000,0.6331,0.5077,0.0351,0.0099,-6.0980,-6.5407,346.19
