======================================================================
--- STARTING: 05_NORMALIZE_CLEANED_DUAL_GPU_DATA ---
======================================================================
Found 1 cleaned dual GPU directories. Using 8 cores.


--- Processing Directory: dual_gpu_0000_parquet_to_0019_parquet_cleaned ---
[*] Created shortcut for dual_gpu_0000_parquet_to_0019_parquet_cleaned_normalized in outputs folder.

Pass 1: Finding ACTUAL global max power...

ACTUAL GLOBAL MAX POWER DRAW = 332.510 W

Pass 2: Analyzing GLOBAL power draw distribution...

GLOBAL POWER DRAW SCALE (P99.9) = 267.500 W

Starting parallel processing on 6631 files...
[DEBUG] Skipped 19649411709954-r8937440-n976057_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 19879714245077-r5189505-n386398_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 19950162767647-r8579942-n136082_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 20288110357135-r9352821-n976057_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 20478905974762-r9040233-n911952_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 20678630300061-r1457839-n386398_cleaned.parquet: Zero std dev in temperature_memory_0
[DEBUG] Skipped 20893222442567-r9040233-n386398_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 21212167439019-r3117156-n139058_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 21437812348928-r8937440-n830961_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 22277592595996-r8062914-n139058_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 22954278826812-r629115-n386398_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 23021391917037-r9102715-n976057_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 23059345100280-r9175025-n911952_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 23999121678946-r8642123-n911952_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 24479807393678-r5130449-n208530_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 24532542009503-r3741709-n851693_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 24570729686797-r9352821-n976057_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 24940561697447-r8937440-n830961_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 24940561697447-r8939293-n139058_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 24940561697447-r9535192-n911952_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 24953085423415-r2998125-n208530_cleaned.parquet: Zero std dev in temperature_gpu_0
