filename,t_max,temperature_gpu_0_mean,temperature_gpu_0_std,temperature_gpu_1_mean,temperature_gpu_1_std,temperature_memory_0_mean,temperature_memory_0_std,temperature_memory_1_mean,temperature_memory_1_std
10048850990766-r9102715-n851693_cleaned.parquet,311.8404998779297,46.15358007609824,5.351706724053654,33.0,0.0,48.52784503631961,7.121401743615581,30.711518505707367,0.4531345781748476
10070252594050-r6272977-n851693_cleaned.parquet,3677.673999786377,44.44701678963574,0.5825808062127371,58.19072793818626,1.3849243322952918,43.71030616394585,0.5246538679299214,61.02495207110905,2.3298733523380935
10000305171013-r1457839-n386398_cleaned.parquet,358.1410000324249,31.0,0.0,30.449877750611247,0.49755745528385276,30.999388753056234,0.024719629350796152,28.92359413202934,0.2656870059758301
1004122909274-r8607415-n911952_cleaned.parquet,1685.7404999732971,32.93462270133164,0.29102847198456516,32.92714013950539,0.3340149475386638,32.73855421686747,0.5016972295105729,30.56746987951807,0.5524498530559968
10085315647125-r5573787-n976057_cleaned.parquet,2126.9720001220703,38.34090909090909,0.47423838776581806,35.294451133855105,0.45580707220337463,35.16345574954846,0.5897227101076171,33.37592815572948,0.48437376929170495
10036489881777-r4858666-n685852_cleaned.parquet,14982.304500102997,67.8365777046518,4.626182797184673,65.2913310113464,4.665957717531525,72.67821962007736,5.559005897342121,63.51285283873587,5.1079754567865425
10111943268829-r2100214-n386398_cleaned.parquet,4157.835500240326,34.21677186654644,0.4120512087863519,36.997604019064795,0.9859733686231469,30.238541800850186,0.4276458312949672,35.29596805358753,2.208813268952982
10177292733558-r1682297-n386398_cleaned.parquet,2080.883500099182,37.333846785787635,1.0518600969759273,50.09298623947422,2.1931694864787987,36.225097555966315,1.0964564774370513,49.31941877182173,2.2242668616098693
1017744163465-r1682297-n976057_cleaned.parquet,716.2600002288818,44.959445355598625,1.7940057071515685,55.75294468465782,3.8449216130281183,43.67392276725809,2.0470847766787403,56.52348292828388,4.385519842449358
10036489881777-r9192091-n386398_cleaned.parquet,14982.098000049591,67.8816859449944,4.334173121582481,55.48077512418664,3.362934391111843,70.18625501557233,5.122343235107304,59.814436295995385,4.451509299508286
10180197235268-r9352821-n851693_cleaned.parquet,1349.1220002174377,65.784639746635,6.218487554559904,64.01947743467933,6.917012050673824,69.09303246239114,8.41465229093544,65.77854315122724,8.424695819971031
10246129714425-r3226521-n685852_cleaned.parquet,1383.9520001411438,36.54835970667696,1.07005115187863,44.14164415283674,4.745743832982966,33.281821690467,1.2456522817082165,45.70081049787727,6.472828575246985
10201892587718-r7217787-n830961_cleaned.parquet,6876.622000217438,50.2490645923592,3.0695206382933655,45.05090586845215,2.8003448720201063,57.61622029670474,4.725883795227674,49.68706511750033,3.826811231296529
10252539248526-r3041626-n43543_cleaned.parquet,615.5350003242493,32.0,0.0,43.66649223792081,2.418754255633662,33.06314320600035,0.2432415710113854,43.651316937031226,3.4717477654061333
1026747789387-r1682297-n685852_cleaned.parquet,6052.350999832153,34.9496494468253,1.4900004744408095,31.90738582366548,1.4346112537866573,36.73845684878696,1.8653724356176216,31.83691656655131,1.6323511553292367
10200987814978-r8642123-n851693_cleaned.parquet,26840.090000152588,35.860078132825805,2.0548435689833178,36.7816367825303,2.1581861368169575,34.17385956125413,1.9838383316851302,37.9187178202945,2.3950371455575197
10268915074523-r8062914-n136082_cleaned.parquet,12180.171000003815,29.303848940409345,5.30515525137515,26.964816156493388,0.7846847648605673,27.358114472015938,5.705798532334926,24.748795508060134,0.7491506452447431
10295850328162-r4774426-n172998_cleaned.parquet,1454.0295000076294,38.00566384700257,0.07504786554629264,35.98190511217359,0.13329954939410069,36.136079440970946,0.3428855126471057,34.00779698418536,0.087958855788567
10081447489111-r6272977-n976057_cleaned.parquet,26426.113999843597,32.81230776761603,1.2074944353543886,29.42193631550178,1.240377670331269,30.02721643428814,1.2257451819599547,29.16225025087091,1.3134676687997437
1025423152861-r2652301-n911952_cleaned.parquet,33589.87799978256,64.54300575356464,6.697798625048744,57.07491058649547,6.014041378620897,66.07775722051734,7.6034968919934105,58.82438140452986,7.363071142015015
10121788751509-r7343737-n386398_cleaned.parquet,75068.63800001144,44.01557379847078,1.5856408025046533,40.940846588840344,1.491395735472268,46.61038338567268,1.95863696197018,41.3731311441835,2.2448791030432944
10325724749052-r4179716-n851693_cleaned.parquet,312.0835003852844,34.72497402147558,0.44660472144633706,45.75545549012816,0.4750721490343426,32.00381018358157,0.061619650130945385,42.357464496016625,0.53534033323455
10396338564492-r8642123-n911952_cleaned.parquet,2947.258500099182,38.289153121704665,1.1421614975157568,46.6693211155958,2.045721088473812,37.796989200392716,1.216187645596495,48.5008181520672,4.606545665351261
10384773181249-r5189505-n830961_cleaned.parquet,5210.598000049591,31.43442639781524,0.8209255144253695,35.00022586805199,0.015027364123954806,29.98919940042299,0.6456030223890805,32.424878339253816,0.4944126709566267
10263860652332-r9535192-n386398_cleaned.parquet,57739.25349998474,42.16601787678716,4.121848329328252,38.655063297110544,3.7874562900292807,41.041570983525204,5.134254474076064,40.42611437445397,4.720772757201162
1048149646958-r1457839-n386398_cleaned.parquet,346.26249980926514,28.58921815889029,0.4920532993444809,28.0,0.0,28.023329129886505,0.15097041756041465,26.011349306431274,0.1059435611463375
10491150481468-r7217787-n851693_cleaned.parquet,360.5,39.0205112960761,0.7722484983839362,40.287455410225924,0.9928424517020487,36.88555291319857,0.791520980678987,37.85939357907253,1.0415816849642476
10494503047275-r3879907-n136082_cleaned.parquet,8655.588500022888,36.42350679597294,0.6657071200133738,35.762023881406265,0.6333337081853594,34.53239023548693,0.6893129466794607,32.028564034947195,0.5262989805884892
10539773706640-r629115-n851693_cleaned.parquet,19435.28750014305,67.95511882897645,4.018263676487232,63.09539310890915,3.7046449227674616,66.31128132938886,4.65509319902897,62.89162423429269,4.1919834022131965
10620096995667-r9189566-n386398_cleaned.parquet,3276.3200001716614,61.941220062653684,4.600536999027648,76.22450904436285,6.00132103632797,66.01690975848014,5.535202464610946,82.66059217839458,7.4166348141343725
10593510186555-r1682297-n685852_cleaned.parquet,11416.038499832153,68.12124351346728,2.4794167658495505,63.673078750784086,2.254181117737946,68.7585679256401,2.5241412143167126,61.71276777737649,2.218316449622568
10030084901039-r7343737-n830961_cleaned.parquet,161630.81900000572,67.04866944419118,5.1000505225422055,65.92595756545087,4.855274053490998,70.84432979337701,6.231752927008664,69.36647599264788,5.818221201738493
10724483963197-r4229531-n976057_cleaned.parquet,366.7810001373291,34.01042908224076,0.10160409728289321,34.0,0.0,32.088796185935635,0.2844917221424287,31.0,0.0
10419715313403-r9535192-n386398_cleaned.parquet,81660.1305000782,30.529199908383838,1.9128330694366034,29.364067263817514,1.8483315898301789,29.625008743308797,1.9494966276612058,30.752794087191702,1.832608718768761
10755871673012-r9040233-n386398_cleaned.parquet,471.415500164032,40.71967287596547,0.449210048882119,34.926624261699224,0.26078187913742473,37.659927305770104,0.4737871363442565,33.03180372557928,0.17549713748872073
10741236782750-r3226521-n851693_cleaned.parquet,1437.8949999809265,30.558502101643104,0.5241395856034838,31.97111196025984,0.9088326523883538,28.02132212457012,0.14446136667003934,29.736645013374094,0.7517674433687156
10560837247072-r2652301-n386398_cleaned.parquet,43226.03750014305,29.502439721889576,0.4999946860517394,29.937979231085453,0.4721458869187988,28.58897771695141,0.4922637495540959,28.930145566242725,0.44282005166506927
