timestamp,gpu_index,power_draw_W
1620511234.724,0,44.71
1620511234.727,1,46.94
1620511234.83,0,44.9
1620511234.833,1,46.98
1620511234.936,0,44.92
1620511234.939,1,46.98
1620511235.042,0,44.74
1620511235.045,1,47.01
1620511235.151,0,44.95
1620511235.154,1,46.91
1620511235.256,0,44.78
1620511235.259,1,46.83
1620511235.364,0,44.8
1620511235.366,1,46.85
1620511235.472,0,44.8
1620511235.475,1,46.83
1620511235.578,0,44.89
1620511235.581,1,46.95
1620511235.684,0,44.68
1620511235.687,1,46.82
1620511235.789,0,44.68
1620511235.792,1,46.83
1620511235.895,0,44.77
1620511235.9,1,46.64
1620511236.003,0,44.8
1620511236.006,1,46.65
1620511236.109,0,44.74
1620511236.112,1,46.67
1620511236.215,0,44.83
1620511236.221,1,46.6
1620511236.324,0,44.9
1620511236.327,1,46.66
1620511236.43,0,44.84
1620511236.433,1,46.69
1620511236.536,0,44.83
1620511236.539,1,46.71
1620511236.642,0,44.74
1620511236.644,1,46.72
1620511236.747,0,44.8
1620511236.751,1,46.65
1620511236.855,0,44.81
1620511236.858,1,46.67
1620511236.961,0,44.77
1620511236.964,1,46.63
1620511237.068,0,44.78
1620511237.07,1,46.63
1620511237.176,0,44.82
1620511237.179,1,46.49
1620511237.282,0,44.82
1620511237.285,1,46.5
1620511237.388,0,44.69
1620511237.391,1,46.42
1620511237.494,0,44.7
1620511237.497,1,46.59
1620511237.6,0,44.69
1620511237.604,1,46.75
1620511237.707,0,44.85
1620511237.71,1,46.61
1620511237.813,0,44.83
1620511237.816,1,46.6
1620511237.918,0,44.77
1620511237.921,1,46.53
1620511238.024,0,44.88
1620511238.027,1,46.54
1620511238.13,0,44.75
1620511238.132,1,46.63
1620511238.235,0,44.76
1620511238.238,1,46.53
1620511238.341,0,44.85
1620511238.346,1,46.54
1620511238.449,0,44.72
1620511238.451,1,46.5
1620511238.554,0,44.74
1620511238.557,1,46.53
1620511238.66,0,44.7
1620511238.663,1,46.85
1620511238.766,0,44.75
1620511238.769,1,46.41
1620511238.872,0,44.81
1620511238.874,1,47.85
1620511238.977,0,44.81
1620511238.98,1,46.38
1620511239.083,0,44.8
1620511239.088,1,46.4
1620511239.19,0,44.8
1620511239.193,1,46.37
1620511239.296,0,44.7
1620511239.299,1,46.37
1620511239.402,0,44.81
1620511239.405,1,46.4
1620511239.508,0,44.73
1620511239.51,1,46.62
1620511239.613,0,44.85
1620511239.616,1,53.26
1620511239.719,0,44.91
1620511239.722,1,47.15
1620511239.824,0,44.8
1620511239.83,1,46.49
1620511239.932,0,44.78
1620511239.935,1,46.27
1620511240.038,0,44.8
1620511240.041,1,46.29
1620511240.144,0,44.87
1620511240.147,1,46.25
1620511240.25,0,44.75
1620511240.252,1,46.24
1620511240.355,0,44.77
1620511240.358,1,46.27
1620511240.461,0,44.77
1620511240.464,1,46.15
1620511240.566,0,44.72
1620511240.571,1,46.32
1620511240.675,0,44.72
1620511240.678,1,46.2
1620511240.781,0,44.8
1620511240.784,1,46.18
1620511240.886,0,44.87
1620511240.892,1,46.25
1620511240.994,0,44.78
1620511240.997,1,46.18
1620511241.1,0,44.74
1620511241.103,1,46.2
1620511241.207,0,44.87
1620511241.212,1,46.08
1620511241.315,0,44.68
1620511241.318,1,46.08
1620511241.421,0,44.72
1620511241.423,1,46.1
1620511241.527,0,44.78
1620511241.533,1,45.99
1620511241.636,0,44.7
1620511241.639,1,45.99
1620511241.742,0,44.87
1620511241.745,1,46.17
1620511241.848,0,44.73
1620511241.854,1,46.03
1620511241.957,0,44.75
1620511241.96,1,45.93
1620511242.063,0,44.75
1620511242.065,1,46.05
1620511242.169,0,44.8
1620511242.175,1,45.9
1620511242.279,0,44.83
1620511242.282,1,46.12
1620511242.385,0,44.71
1620511242.387,1,45.91
1620511242.49,0,44.77
1620511242.495,1,46.05
1620511242.598,0,44.83
1620511242.601,1,46.02
1620511242.704,0,44.77
1620511242.706,1,45.97
1620511242.811,0,44.71
1620511242.816,1,45.89
1620511242.919,0,44.74
1620511242.922,1,45.95
1620511243.024,0,44.68
1620511243.027,1,45.98
1620511243.132,0,44.8
1620511243.137,1,45.41
1620511243.24,0,44.6
1620511243.242,1,46.0
1620511243.345,0,44.82
1620511243.348,1,45.83
1620511243.451,0,44.83
1620511243.453,1,45.85
1620511243.556,0,44.83
1620511243.559,1,45.25
1620511243.662,0,44.76
1620511243.665,1,45.95
1620511243.768,0,44.7
1620511243.77,1,45.8
1620511243.873,0,44.73
1620511243.878,1,45.92
1620511243.981,0,44.73
1620511243.984,1,45.94
1620511244.088,0,44.71
1620511244.091,1,45.83
1620511244.194,0,44.74
1620511244.199,1,45.86
1620511244.302,0,44.75
1620511244.305,1,45.76
1620511244.408,0,44.75
1620511244.41,1,45.74
1620511244.513,0,44.75
1620511244.516,1,45.83
1620511244.62,0,44.87
1620511244.623,1,45.56
1620511244.726,0,44.74
1620511244.729,1,45.75
1620511244.832,0,44.81
1620511244.835,1,45.62
1620511244.938,0,44.77
1620511244.941,1,45.67
1620511245.044,0,44.68
1620511245.047,1,45.68
1620511245.15,0,44.77
1620511245.152,1,45.6
1620511245.255,0,44.7
1620511245.258,1,45.68
1620511245.362,0,44.83
1620511245.365,1,45.54
1620511245.468,0,44.82
1620511245.471,1,45.63
1620511245.574,0,44.62
1620511245.577,1,45.52
1620511245.679,0,44.65
1620511245.683,1,45.66
1620511245.785,0,44.7
1620511245.788,1,45.51
1620511245.892,0,44.73
1620511245.895,1,45.73
1620511245.998,0,44.77
1620511246.003,1,45.67
1620511246.106,0,44.8
1620511246.109,1,45.6
1620511246.212,0,44.7
1620511246.215,1,45.72
1620511246.318,0,44.7
1620511246.324,1,45.63
1620511246.427,0,44.73
1620511246.43,1,45.63
1620511246.534,0,44.8
1620511246.537,1,45.59
1620511246.64,0,44.77
1620511246.645,1,45.59
1620511246.748,0,44.77
1620511246.751,1,45.57
1620511246.853,0,44.77
1620511246.856,1,45.57
1620511246.959,0,44.68
1620511246.962,1,45.59
1620511247.067,0,44.71
1620511247.07,1,45.49
1620511247.173,0,44.76
1620511247.176,1,45.41
1620511247.278,0,44.74
1620511247.281,1,45.45
1620511247.384,0,44.71
1620511247.387,1,45.51
1620511247.49,0,44.72
1620511247.493,1,45.42
1620511247.597,0,44.77
1620511247.601,1,45.47
1620511247.703,0,44.69
1620511247.707,1,45.48
1620511247.81,0,44.77
1620511247.813,1,45.49
1620511247.916,0,44.65
1620511247.919,1,45.37
1620511248.022,0,44.69
1620511248.028,1,45.41
1620511248.13,0,44.71
1620511248.135,1,45.32
1620511248.238,0,44.64
1620511248.241,1,45.35
1620511248.343,0,44.7
1620511248.349,1,45.39
1620511248.452,0,44.72
1620511248.455,1,45.33
1620511248.557,0,44.66
1620511248.56,1,45.45
1620511248.663,0,44.71
1620511248.666,1,45.32
1620511248.771,0,44.77
1620511248.774,1,45.31
1620511248.877,0,44.8
1620511248.88,1,45.31
1620511248.983,0,44.71
1620511248.986,1,45.33
1620511249.089,0,44.68
1620511249.092,1,45.38
1620511249.195,0,44.65
1620511249.198,1,45.37
1620511249.301,0,44.62
1620511249.304,1,45.44
1620511249.407,0,44.68
1620511249.411,1,45.19
1620511249.514,0,44.65
1620511249.517,1,45.35
1620511249.62,0,44.68
1620511249.623,1,45.19
1620511249.725,0,44.67
1620511249.728,1,45.19
1620511249.831,0,44.69
1620511249.834,1,45.22
1620511249.937,0,44.62
1620511249.94,1,45.22
1620511250.042,0,44.71
1620511250.045,1,45.22
1620511250.148,0,44.71
1620511250.153,1,45.31
1620511250.256,0,44.73
1620511250.259,1,45.34
1620511250.362,0,44.75
1620511250.364,1,45.27
1620511250.467,0,44.73
1620511250.47,1,45.34
1620511250.576,0,44.73
1620511250.579,1,45.26
1620511250.682,0,44.71
1620511250.685,1,45.22
1620511250.788,0,44.71
1620511250.791,1,45.23
1620511250.897,0,44.6
1620511250.9,1,45.11
1620511251.004,0,44.77
1620511251.007,1,45.12
1620511251.11,0,44.71
1620511251.115,1,45.12
1620511251.218,0,44.66
1620511251.221,1,45.17
1620511251.324,0,44.61
1620511251.327,1,45.05
1620511251.43,0,44.65
1620511251.435,1,45.07
1620511251.539,0,44.77
1620511251.543,1,45.09
1620511251.646,0,44.71
1620511251.649,1,45.12
1620511251.752,0,44.69
1620511251.757,1,45.11
1620511251.86,0,44.69
1620511251.863,1,45.12
1620511251.966,0,44.63
1620511251.969,1,45.15
1620511252.072,0,44.79
1620511252.077,1,45.1
1620511252.181,0,44.77
1620511252.184,1,45.09
1620511252.287,0,44.61
1620511252.29,1,45.12
1620511252.392,0,44.5
1620511252.398,1,45.12
1620511252.501,0,44.68
1620511252.504,1,45.03
1620511252.609,0,44.51
1620511252.612,1,45.22
1620511252.714,0,44.75
1620511252.719,1,45.09
1620511252.823,0,44.51
1620511252.826,1,45.01
1620511252.929,0,44.68
1620511252.932,1,45.11
1620511253.035,0,44.65
1620511253.039,1,44.99
1620511253.143,0,44.65
1620511253.146,1,44.99
1620511253.249,0,44.83
1620511253.252,1,44.96
1620511253.355,0,44.67
1620511253.36,1,45.01
1620511253.464,0,44.71
1620511253.467,1,44.83
1620511253.57,0,44.68
1620511253.573,1,44.9
1620511253.676,0,44.68
1620511253.681,1,44.99
1620511253.785,0,44.65
1620511253.788,1,44.87
1620511253.891,0,44.65
1620511253.894,1,44.9
1620511253.997,0,44.68
1620511254.002,1,44.9
1620511254.106,0,44.68
1620511254.109,1,44.8
1620511254.215,0,44.64
1620511254.218,1,44.97
1620511254.32,0,44.68
1620511254.323,1,44.93
1620511254.428,0,44.7
1620511254.431,1,44.83
1620511254.534,0,44.7
1620511254.537,1,44.94
1620511254.64,0,44.57
1620511254.643,1,44.9
1620511254.749,0,44.68
1620511254.752,1,44.82
1620511254.855,0,44.59
1620511254.858,1,44.82
1620511254.961,0,44.65
1620511254.964,1,44.78
1620511255.07,0,44.65
1620511255.073,1,44.87
1620511255.175,0,44.6
1620511255.178,1,44.81
1620511255.281,0,44.75
1620511255.285,1,44.68
1620511255.39,0,44.54
1620511255.393,1,44.79
1620511255.496,0,44.56
1620511255.499,1,44.9
1620511255.602,0,44.58
1620511255.606,1,44.72
