epoch,train_rmse,val_rmse,train_mae,val_mae,current_lr,C,h_base_0,h_base_1,h_active_0,h_active_1,T_thresh_0,T_thresh_1,beta_0,beta_1,k01,k10,q0,q1,epoch_time_sec
1,9.991934,8.776643,8.504116,7.444949,0.010000,149.7357,2.1803,2.1794,8.6645,8.7977,63.6087,63.5226,0.4545,0.4546,0.0695,0.0247,-0.6789,-0.6761,429.04
2,8.653465,7.793954,7.375087,6.658539,0.010000,157.1753,2.3643,2.3628,8.9461,9.5160,62.6101,62.2196,0.4155,0.4147,0.0624,0.0220,-1.3106,-1.3069,420.72
3,7.661506,7.132307,6.517866,6.106370,0.010000,163.5491,2.5392,2.5388,8.7411,10.0394,62.1779,61.2307,0.3836,0.3807,0.0570,0.0199,-1.8603,-1.8609,410.41
4,6.961540,6.668849,5.873193,5.676883,0.010000,168.8476,2.6997,2.7005,8.2062,10.2939,62.2885,60.6232,0.3588,0.3532,0.0529,0.0184,-2.3254,-2.3312,409.83
5,6.456453,6.308839,5.371356,5.320884,0.010000,173.3084,2.8460,2.8459,7.5526,10.2779,62.7591,60.3762,0.3401,0.3319,0.0498,0.0173,-2.7185,-2.7272,410.25
6,6.068497,6.005847,4.963632,5.014574,0.010000,177.1957,2.9800,2.9763,6.9087,10.0452,63.4126,60.4174,0.3263,0.3159,0.0474,0.0164,-3.0538,-3.0636,411.17
7,5.758208,5.743462,4.630016,4.752868,0.010000,180.7048,3.1032,3.0946,6.3380,9.6738,64.1276,60.6592,0.3166,0.3042,0.0455,0.0157,-3.3421,-3.3544,411.11
8,5.503045,5.517464,4.357405,4.530557,0.010000,183.9649,3.2161,3.2032,5.8627,9.2354,64.8396,61.0249,0.3103,0.2961,0.0438,0.0151,-3.5910,-3.6101,411.30
9,5.292618,5.326553,4.136000,4.345224,0.010000,187.0585,3.3183,3.3042,5.4839,8.7833,65.5189,61.4562,0.3070,0.2906,0.0425,0.0146,-3.8058,-3.8381,412.59
10,5.120322,5.169173,3.957617,4.196538,0.010000,190.0354,3.4095,3.3988,5.1947,8.3536,66.1511,61.9114,0.3064,0.2873,0.0414,0.0142,-3.9909,-4.0434,411.57
11,4.980122,5.041696,3.815757,4.075503,0.010000,192.9270,3.4891,3.4874,4.9820,7.9644,66.7340,62.3670,0.3081,0.2858,0.0405,0.0138,-4.1500,-4.2288,413.08
12,4.868393,4.939857,3.702707,3.977817,0.010000,195.7550,3.5573,3.5700,4.8339,7.6251,67.2664,62.8072,0.3118,0.2857,0.0398,0.0135,-4.2865,-4.3967,414.44
13,4.778626,4.859109,3.612303,3.897540,0.010000,198.5342,3.6148,3.6467,4.7392,7.3376,67.7490,63.2240,0.3170,0.2869,0.0392,0.0132,-4.4041,-4.5487,411.60
14,4.706907,4.795198,3.539781,3.831811,0.010000,201.2760,3.6623,3.7171,4.6884,7.1001,68.1828,63.6133,0.3235,0.2892,0.0388,0.0129,-4.5059,-4.6863,413.46
15,4.648960,4.744387,3.481741,3.778853,0.010000,203.9839,3.7011,3.7811,4.6739,6.9086,68.5700,63.9739,0.3310,0.2924,0.0385,0.0127,-4.5946,-4.8108,410.49
16,4.602736,4.703647,3.435285,3.735504,0.010000,206.6597,3.7323,3.8387,4.6889,6.7583,68.9134,64.3059,0.3392,0.2964,0.0382,0.0125,-4.6727,-4.9234,408.54
17,4.565179,4.670672,3.397719,3.698793,0.010000,209.3071,3.7571,3.8899,4.7276,6.6446,69.2151,64.6090,0.3480,0.3010,0.0380,0.0123,-4.7423,-5.0255,409.01
18,4.534795,4.643562,3.366835,3.667010,0.010000,211.9243,3.7767,3.9351,4.7858,6.5629,69.4788,64.8847,0.3571,0.3061,0.0379,0.0121,-4.8051,-5.1182,414.76
19,4.509150,4.621066,3.340618,3.639492,0.010000,214.5107,3.7922,3.9746,4.8595,6.5089,69.7070,65.1334,0.3665,0.3116,0.0378,0.0120,-4.8626,-5.2028,412.13
20,4.488926,4.602055,3.318912,3.615397,0.010000,217.0627,3.8043,4.0087,4.9458,6.4792,69.9028,65.3564,0.3760,0.3174,0.0378,0.0119,-4.9160,-5.2802,415.19
21,4.471559,4.585657,3.300507,3.594114,0.010000,219.5797,3.8137,4.0381,5.0415,6.4700,70.0705,65.5557,0.3855,0.3235,0.0377,0.0118,-4.9661,-5.3515,419.82
