timestamp,gpu_index,power_draw_W
1622967206.277,0,43.35
1622967206.28,1,42.13
1622967206.383,0,43.17
1622967206.386,1,42.13
1622967206.489,0,43.25
1622967206.492,1,42.2
1622967206.594,0,43.23
1622967206.597,1,42.19
1622967206.7,0,43.19
1622967206.704,1,42.17
1622967206.807,0,43.38
1622967206.81,1,42.16
1622967206.913,0,43.14
1622967206.916,1,42.1
1622967207.019,0,43.33
1622967207.022,1,42.2
1622967207.125,0,43.28
1622967207.128,1,42.24
1622967207.23,0,43.35
1622967207.233,1,42.22
1622967207.336,0,43.35
1622967207.341,1,42.22
1622967207.444,0,43.3
1622967207.446,1,42.17
1622967207.549,0,43.18
1622967207.552,1,42.14
1622967207.655,0,43.3
1622967207.658,1,42.28
1622967207.763,0,43.37
1622967207.766,1,41.95
1622967207.869,0,43.33
1622967207.873,1,42.19
1622967207.976,0,43.26
1622967207.98,1,42.13
1622967208.082,0,43.37
1622967208.085,1,42.14
1622967208.189,0,43.26
1622967208.193,1,42.11
1622967208.297,0,43.32
1622967208.3,1,42.18
1622967208.402,0,43.21
1622967208.405,1,42.08
1622967208.508,0,43.32
1622967208.514,1,42.28
1622967208.617,0,43.26
1622967208.62,1,42.22
1622967208.723,0,43.27
1622967208.726,1,42.05
1622967208.829,0,43.28
1622967208.835,1,42.14
1622967208.937,0,43.29
1622967208.94,1,42.04
1622967209.043,0,43.15
1622967209.046,1,42.1
1622967209.149,0,43.31
1622967209.152,1,42.18
1622967209.255,0,43.31
1622967209.258,1,42.18
1622967209.361,0,43.29
1622967209.364,1,42.15
1622967209.467,0,43.22
1622967209.47,1,42.18
1622967209.573,0,43.41
1622967209.577,1,42.19
1622967209.68,0,43.41
1622967209.682,1,42.46
1622967209.785,0,43.24
1622967209.788,1,42.29
1622967209.891,0,43.49
1622967209.897,1,42.29
1622967210.001,0,43.3
1622967210.004,1,42.26
1622967210.107,0,43.37
1622967210.11,1,42.33
1622967210.213,0,43.34
1622967210.218,1,42.22
1622967210.321,0,43.32
1622967210.324,1,42.29
1622967210.427,0,43.34
1622967210.429,1,42.31
1622967210.532,0,43.35
1622967210.535,1,42.38
1622967210.642,0,43.26
1622967210.645,1,42.24
1622967210.748,0,43.3
1622967210.751,1,42.19
1622967210.854,0,43.27
1622967210.86,1,42.16
1622967210.963,0,43.26
1622967210.965,1,42.2
1622967211.07,0,43.36
1622967211.073,1,42.23
1622967211.176,0,43.24
1622967211.18,1,42.22
1622967211.283,0,43.3
1622967211.286,1,42.2
1622967211.389,0,43.33
1622967211.392,1,42.31
1622967211.495,0,43.4
1622967211.497,1,42.37
1622967211.6,0,43.36
1622967211.603,1,42.22
1622967211.706,0,43.29
1622967211.709,1,42.26
1622967211.812,0,43.2
1622967211.814,1,42.17
1622967211.917,0,43.44
1622967211.922,1,42.2
1622967212.024,0,43.29
1622967212.027,1,42.17
1622967212.13,0,43.27
1622967212.133,1,42.14
1622967212.236,0,43.39
1622967212.239,1,42.24
1622967212.342,0,43.33
1622967212.345,1,42.3
1622967212.447,0,43.35
1622967212.451,1,42.33
1622967212.554,0,43.31
